id,q_semantic_score,q_entity_translation_score,a_semantic_score,a_entity_translation_score,evaluator
5a7c703055429935c91b51aa,2,4,5,5,CO
5a78ae8b5542990784727730,5,5,1,5,CO
5a7ae38c5542992d025e6721,5,5,5,5,CO
5a78a84d554299148911f8fd,5,5,5,5,CO
5ac42a64554299076e296d7b,3,5,5,5,CO
5ae5aba0554299546bf82f17,2,5,5,5,CO
5a88f7855542993b751ca8da,5,5,5,5,CO
5a80c79155429938b61421da,3,5,5,5,CO
5ac2610f55429951e9e68593,2,5,5,5,CO
5aba94e355429901930fa845,4,5,5,5,CO
5a74c1c05542996c70cfadd8,3,5,5,5,CO
5ab3c48755429969a97a81b8,5,5,5,5,CO
5ade630e55429975fa854eb7,3,5,5,1,CO
5adfed45554299603e4183c5,3,5,1,5,CO
5ac0784e554299294b218ff6,2,2,5,5,CO
5ab527205542996a3a96a03d,2,5,5,5,CO
5a857cf35542994c784ddb1d,5,3,5,5,CO
5a7a073a5542990783324dfb,5,5,5,5,CO
5ae0c7b055429945ae95944b,5,5,5,5,CO
5a8f55f9554299458435d5bd,4,5,5,5,CO
5ab94ade554299743d22eac7,5,5,5,5,CO
5aba52e655429939ce03dc94,4,5,4,5,CO
5abd5a135542992ac4f3829f,5,5,5,5,CO
5a8cfee555429941ae14df5c,5,5,5,5,CO
5ae7a8175542993210983ed8,3,5,5,5,CO
5a89a92a55429946c8d6e98c,5,5,5,5,CO
5adbe0df554299438c868cc0,5,5,5,5,CO
5a75abbb5542992d0ec05fd9,3,5,5,3,CO
5ade949b5542997c77adee63,3,5,5,5,CO
5a8b057255429971feec4611,3,5,5,5,CO
5a85cead5542991dd0999ea9,4,5,5,5,CO
5a7481d755429974ef308c12,4,5,5,5,CO
5ab28a87554299449642c8ec,5,2,5,2,CO
5a75675d5542992d0ec05f87,5,5,5,1,CO
5ae81060554299540e5a572c,4,5,5,5,CO
5ae610e55542995703ce8ae1,5,3,3,3,CO
5ab465095542991751b4d75a,5,5,3,5,CO
5abb23035542992ccd8e7f22,4,5,5,4,CO
5ab96bf15542996be20204d8,5,5,5,5,CO
5a7ec61a55429934daa2fc5f,4,2,5,5,CO
5ab85e195542992aa3b8c8c5,3,5,5,5,CO
5ae604ec5542996de7b71af9,3,5,5,5,CO
5abec12b5542997ec76fd358,4,1,5,5,CO
5a8dfae55542995085b3736b,5,5,5,5,CO
5ae71c4c554299572ea546ee,4,5,5,5,CO
5adf53dc5542995534e8c791,2,5,5,5,CO
5a8f9cdb554299458435d69c,3,2,5,5,CO
5ae1338d55429901ffe4ade1,3,2,5,1,CO
5a8c2d23554299240d9c20b7,5,3,5,5,CO
5a8555ea5542992a431d1b07,3,5,5,5,CO
5adef1b35542993a75d263af,1,5,5,5,CO
5abcf9d155429959677d6b90,3,5,4,2,CO
5a7698c2554299373536010d,2,5,4,1,CO
5a7f81425542992097ad2f8e,5,1,5,1,CO
5ae712fa554299572ea546b9,5,5,4,1,CO
5ae4094655429970de88d896,4,5,4,2,CO
5ac2b2e2554299218029dafa,5,5,5,5,CO
5a79f6825542996c55b2dcb4,5,5,5,5,CO
5a886211554299206df2b24a,4,5,5,5,CO
5a8a21a455429930ff3c0caf,4,5,5,2,CO
5a8c5b635542996e8ac88a75,5,5,5,5,CO
5a8333115542993344745feb,2,5,5,5,CO
5abdd8d95542991f6610606a,5,5,5,5,CO
5ab1d6545542997061209588,5,5,5,5,CO
5ae6363b55429929b0807af0,2,2,5,5,CO
5a8f791c5542992414482ad9,5,5,5,5,CO
5a7bc0755542995eb53be9a5,5,5,5,2,CO
5a73f4f75542993a88ae2ebc,2,1,5,5,CO
5a87ab9b5542996e4f3088c2,5,5,5,5,CO
5a8b6f9a5542995d1e6f138f,5,5,5,5,CO
5a89e2ba5542992e4fca8441,3,5,5,5,CO
5ae096d755429906c02daadf,5,5,5,5,CO
5a74547755429979e2882900,5,5,5,5,CO
5ade27e05542997c77aded7d,5,5,5,5,CO
5a8ce584554299585d9e375c,5,5,5,5,CO
5ac24a035542992f1f2b3832,5,5,5,5,CO
5a77ace855429967ab105223,3,5,5,5,CO
5ab44ab25542991779162c58,5,5,5,5,CO
5a716f575542994082a3e82f,5,5,5,5,CO
5ae650fb55429929b0807b2e,5,5,5,5,CO
5ae3368b5542991a06ce995b,4,5,5,5,CO
5a7e075c5542995f4f4023a3,4,5,5,5,CO
5a83161555429940e5e1a958,4,5,5,5,CO
5a7b41b555429931da12ca3f,4,5,5,5,CO
5ac270025542990b17b15390,5,5,5,5,CO
5adf6a5c5542995ec70e8ff9,5,5,5,5,CO
5a7f7c285542994857a76746,4,5,5,5,CO
5a8f24cc55429924144829e7,5,5,5,5,CO
5a7e02cf5542997cc2c474f4,5,5,5,5,CO
5a8cbce1554299653c1aa103,5,5,5,5,CO
5a8682755542996432c571cf,5,5,5,2,CO
5a7270395542992359bc30a8,3,1,5,5,CO
5ab9c3e1554299753720f852,5,5,5,5,CO
5ab862f95542992aa3b8c8d4,5,5,5,5,CO
5a7b77d95542997c3ec971a5,4,5,5,5,CO
5ab672165542995eadeeffe0,5,5,5,5,CO
5a8660ba55429960ec39b684,5,5,5,5,CO
5ab29486554299545a2cf9a4,5,5,5,5,CO
5a80be9655429938b61421b5,5,5,5,5,CO
5a8afb9955429971feec45c2,5,5,5,5,CO
5a78fe8155429970f5fffe11,5,5,5,5,CO
5a75c02f5542992db94736b4,5,5,5,5,CO
5a7dab795542990b8f503a22,5,5,5,5,CO
5a7180205542994082a3e856,5,5,5,2,CO
5a8790785542993e715abfac,5,5,5,5,CO
5a7e1b7155429965cec5ea6c,5,5,5,5,CO
5abe3dc65542993f32c2a0c4,3,1,5,5,CO
5a77691455429966f1a36d2b,3,5,5,5,CO
5a729cc25542991f9a20c532,5,5,5,5,CO
5ade9c2155429939a52fe8fe,5,5,5,5,CO
5ae7cea355429952e35ea9c1,5,5,5,5,CO
5a775e095542994aec3b72b4,4,5,5,5,CO
5ab32fc355429969a97a80fa,5,5,5,5,CO
5abd81ff5542993062266cb3,5,5,5,5,CO
5adce3b95542990d50227d56,5,5,5,5,CO
5adeb78a554299728e26c77a,5,5,5,5,CO
5add15d15542994ed6169c70,5,5,5,2,CO
5a84873e5542997175ce1eec,5,5,5,5,CO
5ab84bf555429916710eb01f,4,5,5,5,CO
5abe3e545542993f32c2a0c7,5,5,5,5,CO
5ab6b13b554299710c8d1f3f,5,3,5,5,CO
5ac2659b55429963665199a1,5,5,5,5,CO
5a799dfb5542994bb9457029,5,5,5,5,CO
5ab2a1f35542997061209677,4,5,5,5,CO
5ab29b07554299194fa93440,5,5,5,5,CO
5a7dedb55542995f4f402317,5,5,5,5,CO
5a8332815542993344745fe9,5,5,5,5,CO
5a77b6535542995d83181274,5,5,5,5,CO
5ab93262554299131ca422b6,5,5,5,5,CO
5a79b525554299029c4b5f67,3,5,5,5,CO
5adf9ea05542992d7e9f93bf,4,5,5,5,CO
5ab28e2a5542993be8fa9947,5,5,5,5,CO
5a7f66f155429969796c1a33,5,5,5,2,CO
5abc030e554299642a094bdc,5,5,5,5,CO
5ab52a255542996a3a96a048,5,5,5,5,CO
5ab7bfe955429928e1fe38c2,5,5,5,5,CO
5ae779a555429952e35ea931,4,5,5,5,CO
5a7c6bcc55429935c91b519c,5,5,5,5,CO
5ae385df5542992f92d82305,5,5,5,5,CO
5adc872b5542994d58a2f62f,5,5,5,5,CO
5a83eaae55429933447460b4,5,5,5,5,CO
5ae1fb7a554299234fd04383,5,5,5,5,CO
5a88d7875542993b751ca876,5,5,5,5,CO
5a8a09ff5542992d82986e6b,4,5,5,5,CO
5abff0625542997ec76fd476,5,5,5,5,CO
5a711ef85542994082a3e5ac,5,5,5,5,CO
5a804f01554299485f5985bf,5,5,5,5,CO
5a877df15542993e715abf7a,5,5,5,5,CO
5a8e4a7355429917b4a5bd80,5,5,5,5,CO
5ab6b59f5542995eadef0065,5,2,5,2,CO
5a89217455429938390d4039,3,5,5,5,EZ
5ade3af855429939a52fe867,4,3,5,5,EZ
5abb14d85542996cc5e49f92,5,5,5,5,EZ
5ae74fb95542991e8301cc57,3,5,5,5,EZ
5a8b2f2b5542995d1e6f12fa,4,5,5,5,EZ
5a8b7d925542995d1e6f13bd,5,1,5,5,EZ
5ab4fd0b55429942dd415fbb,4,4,5,5,EZ
5ac43d575542997ea680ca39,3,5,5,5,EZ
5a776b82554299373536026f,4,5,5,5,EZ
5adfc50355429942ec259b43,4,5,5,5,EZ
5a8df72055429917b4a5bcf2,4,3,5,5,EZ
5a80297f5542992e7d278e08,5,5,5,5,EZ
5a84c66a5542994c784dda45,3,5,5,1,EZ
5ac3e07b5542997ea680c96c,5,5,5,5,EZ
5ae2d59755429928c42394ec,5,5,5,5,EZ
5ae5a4e5554299546bf82f01,4,5,5,5,EZ
5ae641f65542992ae0d162a3,5,2,5,5,EZ
5a7d26fd554299452d57bb2a,3,5,5,5,EZ
5a79f6ca554299029c4b5f90,4,5,5,5,EZ
5a7568805542992db9473658,3,5,5,5,EZ
5ab29bdc554299545a2cf9d1,5,5,5,5,EZ
5ab262e2554299722f9b4cfd,5,5,1,1,EZ
5adbfb3f55429947ff17388a,5,3,5,3,EZ
5a8baf635542996e8ac889c6,4,5,5,5,EZ
5ae2dd2055429928c423950d,3,5,5,5,EZ
5a7b9f1f554299294a54aa2a,4,5,5,5,EZ
5a750d315542996c70cfae84,4,5,5,5,EZ
5ae35e8c5542990afbd1e120,5,5,5,5,EZ
5ae54b4f5542990ba0bbb261,4,5,5,5,EZ
5a8481945542997175ce1ed3,5,5,5,5,EZ
5a8430335542996488c2e500,4,5,5,5,EZ
5a89e1bf5542992e4fca8433,4,5,5,5,EZ
5ae1f079554299234fd04343,3,5,5,5,EZ
5a7f244255429934daa2fcec,4,5,5,5,EZ
5a7c07e15542997c3ec972c7,5,5,5,5,EZ
5a80ae105542992bc0c4a7a2,5,5,5,5,EZ
5a80d6be55429938b6142206,3,2,5,5,EZ
5ae773eb5542997b22f6a777,2,5,5,5,EZ
5a804e845542992bc0c4a6e9,5,3,5,5,EZ
5ae1d52f554299234fd04315,5,2,5,5,EZ
5a8b71915542995d1e6f1393,3,5,5,5,EZ
5ac3dfee554299204fd21eab,5,5,5,5,EZ
5a8601f855429960ec39b5fd,4,5,5,5,EZ
5a77731955429972597f1541,5,5,5,5,EZ
