,method,llm_model,dataset,total_data,exact_match,accuracy,f1_mean,step_mean,time_mean
0,latest_adaptive,Gemma 3,indo_qa,975,206,0.21128205128205127,0.21333333333333335,1.0123076923076924,17.175384615384615
1,multi_retrieval,Gemma 3,indo_qa,975,18,0.018461538461538463,0.019487179487179488,2.825641025641026,127.68102564102564
2,non_retrieval,Gemma 3,indo_qa,975,13,0.013333333333333334,0.013333333333333334,0,2.124102564102564
3,single_retrieval,Gemma 3,indo_qa,975,252,0.25846153846153846,0.25846153846153846,1,4.1866666666666665
4,8b_adaptive,Qwen 3,indo_qa,975,200,0.20512820512820512,0.20615384615384616,0.6605128205128206,11.134358974358975
5,multi_retrieval,Qwen 3,indo_qa,975,91,0.093333333,0.094358974,0.005128205,26.05025641025641
6,non_retrieval,Qwen 3,indo_qa,975,17,0.017435897435897435,0.017435897435897435,0,3.6102564102564103
7,single_retrieval,Qwen 3,indo_qa,975,257,0.2635897435897436,0.26461538461538464,1,12.215384615384615
8,latest_adaptive,Gemma 3,musique,740,6,0.008108108,0.008108108,4.587837837837838,170.02972972972972
9,multi_retrieval,Gemma 3,musique,740,5,0.006756757,0.006756757,4.813513513513514,143.56216216216217
10,non_retrieval,Gemma 3,musique,740,43,0.058108108,0.059459459,0,0.6702702702702703
11,single_retrieval,Gemma 3,musique,740,41,0.055405405,0.055405405,1,0.6567567567567567
12,8b_adaptive,Qwen 3,musique,740,0,0,0,0.11756756756756757,80.26486486486486
13,multi_retrieval,Qwen 3,musique,740,0,0,0,0.6648648648648648,147.23513513513512
14,non_retrieval,Qwen 3,musique,740,38,0.051351351351351354,0.051351351351351354,0,2.785135135135135
15,single_retrieval,Qwen 3,musique,740,38,0.051351351351351354,0.051351351351351354,1,2.633783783783784
16,latest_adaptive,Gemma 3,qasina,499,147,0.29458917835671344,0.29458917835671344,0.9639278557114228,14.793587174348698
17,multi_retrieval,Gemma 3,qasina,499,37,0.074148297,0.074148297,4.593186372745491,179.28056112224448
18,non_retrieval,Gemma 3,qasina,499,9,0.018036072144288578,0.018036072144288578,0,1.6633266533066133
19,single_retrieval,Gemma 3,qasina,499,180,0.36072144288577157,0.36072144288577157,1,9.414829659318638
20,8b_adaptive,Qwen 3,qasina,499,159,0.3186372745490982,0.3186372745490982,0.7254509018036072,19.29058116232465
21,multi_retrieval,Qwen 3,qasina,499,59,0.11823647294589178,0.11823647294589178,0.03006012,45.012024048096194
22,non_retrieval,Qwen 3,qasina,499,13,0.026052104208416832,0.026052104208416832,0,2.8777555110220443
23,single_retrieval,Qwen 3,qasina,499,205,0.41082164328657317,0.41082164328657317,1,19.82364729458918
