exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count
0,0,37.39409255981445,5,5abc081e5542993f40c73c54,0.06666666666666667,1,18,15
0,0,21.336198091506958,5,5a7fe7f85542994857a7683e,3.3333333333333335,10,18,3
0,0,14.37488317489624,5,5ae389fc5542992f92d8230f,0.0,0,18,9
0,0,13.800273180007935,5,5ac4f8705542995c82c4ad8d,0.14285714285714285,1,18,7
0,0,13.710857152938843,5,5a74655b55429974ef308bf0,0.3333333333333333,1,18,3
0,0,16.68418598175049,5,5ab57673554299637185c5a3,0.2,1,18,5
0,0,24.32396125793457,5,5a8765ad5542996e4f3087cf,0.6666666666666666,2,18,3
0,0,6.711701393127441,2,5ae5cf625542996de7b71a22,0.0,0,9,8
0,0,13.706427812576294,5,5ae515bb55429913cc204584,0.5,1,18,2
0,0,15.212242126464844,5,5ae2eb7f55429928c423955b,0.0,0,18,1
0,0,4.2590813636779785,1,5a8838885542994846c1ce39,0.5,1,6,2
0,0,1.7976572513580322,0,5a7b241b554299042af8f705,0.0,0,3,2
0,0,1.8324754238128662,0,5a8cc7af554299653c1aa11e,0.125,1,3,8
0,0,0.518430233001709,1,5a86681c5542991e77181644,0.0,0,3,7
0,0,1.8413994312286377,0,5abce3015542993a06baf995,0.0,0,3,12
0,0,3.7606914043426514,1,5a7bf84b5542996dd594b875,0.2,1,6,5
0,0,1.82417631149292,0,5ab70c41554299110f219a9d,0.2857142857142857,2,3,7
0,0,1.8073234558105469,0,5adbcd475542996e68525240,0.3333333333333333,1,3,3
0,0,12.844441175460815,5,5a7fd6fc5542995d8a8ddf31,1.0,2,15,2
0,0,0.258746862411499,1,5a902d5155429933b8a2048d,0.5,1,3,2
0,0,3.7466366291046143,1,5a7758895542994aec3b729c,0.0,0,6,5
0,0,1.8326480388641357,0,5ae81032554299540e5a572a,0.6666666666666666,2,3,3
0,0,1.8014123439788818,0,5a8e42d15542995a26add4a6,0.5,1,3,2
0,0,0.44282054901123047,1,5abbc3a955429931dba144f9,0.0,0,3,3
0,0,7.902192831039429,1,5ae206c45542994d89d5b311,0.0,0,3,4
0,0,3.7487294673919678,1,5a80b9e85542992bc0c4a7ed,0.4,2,6,5
0,0,6.451232433319092,2,5a8a1dbc55429970aeb7025a,0.375,3,9,8
0,0,3.9207956790924072,1,5ab9c3e1554299753720f852,0.5,2,6,4
0,0,1.8299801349639893,0,5a84f5865542991dd0999e30,0.0,0,3,10
0,0,1.8434693813323975,0,5abcf299554299700f9d7936,0.5,1,3,2
0,0,1.8410634994506836,0,5ae4581e55429970de88d92f,0.0,0,3,2
0,0,1.8002641201019287,0,5a7785af55429949eeb29ec2,0.3333333333333333,1,3,3
0,0,16.290415048599243,5,5ae3639b5542991a06ce99b2,0.2,1,18,5
0,0,15.912606477737427,5,5ae779a555429952e35ea931,0.25,1,18,4
0,0,14.517977237701416,3,5abe822155429976d4830b48,1.0,1,12,1
0,0,16.19029140472412,5,5ae385df5542992f92d82305,0.6666666666666666,2,18,3
0,0,15.632372379302979,5,5a77720255429967ab10517f,1.0,1,18,1
0,0,7.663810729980469,0,5a80de9b55429938b6142226,0.25,1,3,4,
0,0,12.29914379119873,1,5ae15ae25542990adbacf767,0.0,0,6,3,
0,0,7.835392236709595,0,5a8e8f6f5542995085b37451,0.16666666666666666,1,3,6,
0,0,7.9479944705963135,0,5ae5caff554299546bf82f69,0.0,0,3,4,
0,0,7.907233238220215,0,5abde0655542991f6610608b,0.0,0,3,7,
0,0,8.01761794090271,0,5a7c221f554299683c1c62d2,0.25,1,3,4,
0,0,8.06111764907837,0,5a8782a25542993e715abf95,0.0,0,3,4,
0,0,0.27069830894470215,1,5ab259b25542993be8fa98de,0.0,0,3,4,
0,0,7.966767311096191,0,5abc805a554299658360045b,0.0,0,3,4,
0,0,7.829028129577637,0,5a721e0e55429971e9dc928d,0.2,1,3,5,
0,0,7.793826580047607,0,5ac05310554299012d1db5e7,0.0,0,3,4,
0,0,8.039161443710327,0,5add57e55542992ae4cec516,0.0,0,3,5,
0,0,7.834510803222656,0,5a778c215542995d831811ba,0.125,1,3,8,
0,0,7.973067760467529,0,5ade28b15542997c77aded83,,,,,
0,0,7.694279670715332,0,5a87106555429960ec39b71f,0.6666666666666666,2,3,3,
0,0,7.820956707000732,0,5a72f3a85542992359bc31e5,0.5,3,3,6,
0,0,12.555081129074097,1,5a7b88a85542995eb53be954,1.0,4,6,4,
0,0,7.845806837081909,0,5a7cad635542996dd594b97f,0.3333333333333333,1,3,3,
0,0,8.025540590286255,0,5a832e715542990548d0b1bf,0.14285714285714285,1,3,7,
0,0,8.042712926864624,0,5ae81060554299540e5a572c,0.0,0,3,7,
0,0,7.832927465438843,0,5a825f2155429954d2e2eb1b,0.3333333333333333,1,3,3,
0,0,7.841000318527222,0,5ab6e07b55429954757d33a0,0.0,0,3,5,
0,0,7.937418222427368,0,5aba89d555429901930fa816,0.25,1,3,4,
0,0,7.783787965774536,0,5a85d4ad5542997175ce2050,0.5,1,3,2,
0,0,7.8027825355529785,0,5ac2660d55429951e9e685a1,0.3333333333333333,1,3,3,
0,0,7.847391843795776,0,5a831af855429954d2e2ec1e,0.5,1,3,2,
0,0,7.83678936958313,0,5abbc4d255429931dba144fe,0.0,0,3,3,
0,0,7.82153844833374,0,5a778ce55542995d831811c0,0.0,0,3,4,
0,0,7.8209450244903564,0,5a8a13f45542992d82986e9e,0.25,1,3,4,
0,0,7.884249925613403,0,5a86296a55429960ec39b631,0.2,1,3,5,
0,0,7.778217554092407,0,5a7f275d55429934daa2fd01,0.5,1,3,2,
0,0,6.879060983657837,0,5ae13b085542997b2ef7d146,0.25,1,3,4,
0,0,7.840563774108887,0,5a8081975542992097ad2fef,0.3333333333333333,1,3,3,
0,0,8.005039930343628,0,5ae2e06d55429928c4239521,1.0,1,3,1,
0,0,7.865494012832642,0,5ab2383155429970612095c1,0.3333333333333333,2,3,6,
0,0,7.877351999282837,0,5ac29da5554299218029dac3,0.0,0,3,3,
0,0,7.831852674484253,0,5ab48af35542996a3a969f92,0.0,0,3,4,
0,0,8.006149530410767,0,5a902e755542995651fb50de,0.0,0,3,4,
