exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count
0,0.9090909090909092,0.4985783100128174,1,629HsNl5Qf3THUq_CbmFrSx28,1.0,1.0,3.0,1.0
1,1.0,0.383495569229126,1,2648F832Z8D-thJnrxy_ZoZ11111,1.0,1.0,3.0,1.0
1,1.0,0.4537153244018554,1,2561YDPNx6Nm5o6T0F-PGw-u2466,1.0,1.0,3.0,1.0
0,0.0,0.563063383102417,1,1431C0_ORK0ta8pDX6H-1VOp596,0.0,0.0,3.0,1.0
1,1.0,0.4865124225616455,1,1234WIzl7ElikCCPk4gA-7ua3057,1.0,1.0,3.0,1.0
0,0.8571428571428571,0.5529968738555908,1,580J0GQq9CMPFwuNoK_eRB4169,1.0,1.0,3.0,1.0
0,0.0555555555555555,0.8908791542053223,1,1008cPycwBnuEuEiZLC7k7LH387,0.0,0.0,3.0,1.0
0,0.0,0.8042159080505371,1,2515HnCK6br3syHDxNhRpc8g1750,0.0,0.0,3.0,1.0
0,0.0,0.6486742496490479,0,1423Rcv2EkrmFuIt2YeOnjUf618,,,,
1,1.0,0.5176007747650146,1,20485Fhf0JwIy4n0x3VB-lgO1653,1.0,1.0,3.0,1.0
0,0.125,1.143482685089111,0,845RUlmcCAkxZC2itV7MBh62763,,,,
1,1.0,0.4309306144714355,1,2469wKA4zFUFpbear2IzeeA21855,1.0,1.0,3.0,1.0
1,1.0,0.515080451965332,1,1440qne5M3TJkKmQ8UE97H1P2132,1.0,1.0,3.0,1.0
1,1.0,0.355928897857666,1,1528MgNp15Yx30rPeZDqHZi11952,1.0,1.0,3.0,1.0
1,1.0,0.3867127895355224,1,23488dFrnyeZ5ef_I0UKSiz_3761,1.0,1.0,3.0,1.0
0,0.3333333333333333,0.5341513156890869,1,1972yAEf1nBlvyHW4FzECBk52251,1.0,1.0,3.0,1.0
0,0.25,0.4327530860900879,1,1752E5XokYRzRxCMWKU2kTp-3547,1.0,1.0,3.0,1.0
0,0.0,0.4370672702789306,1,2574e_nCnMlZf6mrQzmO3LZo2447,0.0,0.0,3.0,1.0
0,0.0,0.3859114646911621,1,1235m-89f-L_U28rNQ1Twz073053,0.0,0.0,3.0,1.0
0,0.5925925925925926,0.8419392108917236,1,924h9Ft9SWd5mJ8NvTErCl72555,1.0,1.0,3.0,1.0
0,0.1333333333333333,0.63523268699646,1,1449K8ANCJR2kfhz2B8KAAgg2114,1.0,1.0,3.0,1.0
0,0.0869565217391304,0.4440507888793945,1,2563vdW9TuW9KxwiRSmdl72r2463,0.0,0.0,3.0,1.0
1,1.0,0.3998820781707763,1,9171SqPvS4Y9VVB9rn93Vi-2574,1.0,1.0,3.0,1.0
0,0.5714285714285714,0.5864198207855225,1,27065ZHgP-paSB5ljBAmKla_949,0.0,0.0,3.0,1.0
1,1.0,0.2431755065917968,0,542GY7OjClDyzNlztIK-dOQ282,,,,
1,1.0,0.4008538722991943,1,2135JNizCTqBzs-NkJ-0GhnT1406,1.0,1.0,3.0,1.0
0,0.0,0.3430008888244629,1,1021PPK-R-xW8kEi9x6y3ozh353,0.0,0.0,3.0,1.0
0,0.25,0.6263523101806641,1,2130h876xzkpp7t6b6OH4mTG1419,1.0,1.0,3.0,1.0
