exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count,error
0,0.5,4.4388720989227295,0,629HsNl5Qf3THUq_CbmFrSx28,1.0,1,3,1,
0,0.15384615384615383,4.295837640762329,0,2648F832Z8D-thJnrxy_ZoZ11111,0.0,0,3,1,
0,0.5,4.421688079833984,0,2561YDPNx6Nm5o6T0F-PGw-u2466,0.0,0,3,1,
0,0.3902439024390244,9.84745454788208,1,1431C0_ORK0ta8pDX6H-1VOp596,0.0,0,6,1,
0,0.42857142857142855,4.557158708572388,0,1234WIzl7ElikCCPk4gA-7ua3057,1.0,1,3,1,
0,0.14285714285714288,4.489691257476807,0,580J0GQq9CMPFwuNoK_eRB4169,0.0,0,3,1,
0,0,30.8940908908844,5,1008cPycwBnuEuEiZLC7k7LH387,0.0,0,18,1,
0,0.5,4.406231164932251,0,2515HnCK6br3syHDxNhRpc8g1750,1.0,1,3,1,
0,0,32.6020085811615,5,1423Rcv2EkrmFuIt2YeOnjUf618,1.0,1,18,1,
0,0.5833333333333334,4.839139938354492,0,20485Fhf0JwIy4n0x3VB-lgO1653,1.0,1,3,1,
0,0.8372093023255814,5.335146188735962,0,845RUlmcCAkxZC2itV7MBh62763,1.0,1,3,1,
0,0.1791044776119403,6.021972179412842,0,2469wKA4zFUFpbear2IzeeA21855,1.0,1,3,1,
0,0.10344827586206895,5.656458377838135,0,1440qne5M3TJkKmQ8UE97H1P2132,0.0,0,3,1,
0,0.2,9.50606894493103,1,1528MgNp15Yx30rPeZDqHZi11952,2.0,2,6,1,
0,0,6.040852069854736,0,23488dFrnyeZ5ef_I0UKSiz_3761,0.0,0,3,1,
0,0.16666666666666669,4.753555536270142,0,1972yAEf1nBlvyHW4FzECBk52251,1.0,1,3,1,
0,0.04166666666666667,5.423110723495483,0,1752E5XokYRzRxCMWKU2kTp-3547,0.0,0,3,1,
0,0,33.35183668136597,5,2574e_nCnMlZf6mrQzmO3LZo2447,0.0,0,18,1,
0,0,4.891123056411743,0,1235m-89f-L_U28rNQ1Twz073053,0.0,0,3,1,
0,0.20408163265306123,5.927710294723511,0,924h9Ft9SWd5mJ8NvTErCl72555,0.0,0,3,1,
0,0,33.83175301551819,5,1449K8ANCJR2kfhz2B8KAAgg2114,1.0,1,18,1,
0,0.1276595744680851,39.1887321472168,5,2563vdW9TuW9KxwiRSmdl72r2463,0.0,0,18,1,
1,1.0,5.310420274734497,0,9171SqPvS4Y9VVB9rn93Vi-2574,1.0,1,3,1,
0,0.034482758620689655,6.553171873092651,0,27065ZHgP-paSB5ljBAmKla_949,0.0,0,3,1,
0,0,42.85042977333069,5,542GY7OjClDyzNlztIK-dOQ282,0.0,0,18,1,
0,0,19.40173578262329,2,2135JNizCTqBzs-NkJ-0GhnT1406,1.0,1,9,1,
0,0,28.861128568649292,3,1021PPK-R-xW8kEi9x6y3ozh353,0.0,0,12,1,
0,0,5.853748321533203,0,2130h876xzkpp7t6b6OH4mTG1419,1.0,1,3,1,
0,0.06666666666666667,5.916031122207642,0,884P0H0QPSGbW5zK2GVDAY02661,1.0,1,3,1,
0,0,5.822901964187622,0,1192qu70aQV6bzoD2MwG1aT83180,1.0,1,3,1,
0,0,5.941867113113403,0,604BaVh8B5igEaFS0x8dDlu99,1.0,1,3,1,
0,0.06896551724137932,5.884124755859375,0,2670fxp2HMG8cuSsty0VDUYi1051,1.0,1,3,1,
0,0.05714285714285714,5.867816925048828,0,22218q38c0YRb2JXvtSd0Nqf4044,1.0,1,3,1,
0,0,6.021044015884399,0,2134Bi8K76FZoKK6ZdoHexNd1407,1.0,1,3,1,
0,0,5.839094161987305,0,2098lWBBQeFRw7WuODbVUvic1512,1.0,1,3,1,
0,0,7.607153654098511,0,899il7HMq79D4iA4PWEiSgJ2628,1.0,1,3,1,
0,0,5.723634481430054,0,9853WfA7vCWlhKLuNowxZf-444,0.0,0,3,1,
0,0.10526315789473685,5.839294195175171,0,1940j-y1Q_I1wO0_w4xuf2jC2322,1.0,1,3,1,
