exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count,error
0,0.5,4.517147064208984,0,629HsNl5Qf3THUq_CbmFrSx28,1.0,1,3,1,
0,0.16666666666666666,4.240123510360718,0,2648F832Z8D-thJnrxy_ZoZ11111,0.0,0,3,1,
0,0,5.816584348678589,0,2561YDPNx6Nm5o6T0F-PGw-u2466,0.0,0,3,1,
0,0.03389830508474577,32.47977375984192,5,1431C0_ORK0ta8pDX6H-1VOp596,0.0,0,18,1,
0,0.42857142857142855,4.51229190826416,0,1234WIzl7ElikCCPk4gA-7ua3057,1.0,1,3,1,
0,0.023255813953488372,6.61885404586792,0,580J0GQq9CMPFwuNoK_eRB4169,0.0,0,3,1,
0,0,33.3381609916687,5,1008cPycwBnuEuEiZLC7k7LH387,0.0,0,18,1,
0,0.5,4.745800256729126,0,2515HnCK6br3syHDxNhRpc8g1750,1.0,1,3,1,
0,0,35.51017689704895,5,1423Rcv2EkrmFuIt2YeOnjUf618,1.0,1,18,1,
0,0.7000000000000001,5.120819807052612,0,20485Fhf0JwIy4n0x3VB-lgO1653,1.0,1,3,1,
0,0.5428571428571428,6.324851989746094,0,845RUlmcCAkxZC2itV7MBh62763,1.0,1,3,1,
0,0,34.733041286468506,5,2469wKA4zFUFpbear2IzeeA21855,0.0,0,18,1,
0,0,36.44680953025818,5,1440qne5M3TJkKmQ8UE97H1P2132,0.0,0,18,1,
0,0.2,12.046558856964111,1,1528MgNp15Yx30rPeZDqHZi11952,2.0,2,6,1,
0,0,5.957394123077393,0,23488dFrnyeZ5ef_I0UKSiz_3761,0.0,0,3,1,
0,0.16666666666666669,5.5095155239105225,0,1972yAEf1nBlvyHW4FzECBk52251,1.0,1,3,1,
0,0.04,6.460244655609131,0,1752E5XokYRzRxCMWKU2kTp-3547,0.0,0,3,1,
0,0,32.130441665649414,5,2574e_nCnMlZf6mrQzmO3LZo2447,0.0,0,18,1,
0,0,35.413570165634155,5,1235m-89f-L_U28rNQ1Twz073053,0.0,0,18,1,
0,0,44.320815324783325,5,924h9Ft9SWd5mJ8NvTErCl72555,0.0,0,18,1,
0,0,23.268228769302368,3,1449K8ANCJR2kfhz2B8KAAgg2114,0.0,0,12,1,
0,0.0851063829787234,43.782212018966675,5,2563vdW9TuW9KxwiRSmdl72r2463,0.0,0,18,1,
0,0,35.79811215400696,5,9171SqPvS4Y9VVB9rn93Vi-2574,1.0,1,18,1,
0,0,37.332048654556274,5,27065ZHgP-paSB5ljBAmKla_949,0.0,0,18,1,
0,0,35.999112367630005,5,542GY7OjClDyzNlztIK-dOQ282,0.0,0,18,1,
0,0,18.270939588546753,2,2135JNizCTqBzs-NkJ-0GhnT1406,0.0,0,9,1,
0,0,37.82936239242554,5,1021PPK-R-xW8kEi9x6y3ozh353,0.0,0,18,1,
0,0,46.385199546813965,5,2130h876xzkpp7t6b6OH4mTG1419,2.0,2,18,1,
0,0,38.764000415802,5,884P0H0QPSGbW5zK2GVDAY02661,1.0,1,18,1,
0,0,37.03367018699646,5,1192qu70aQV6bzoD2MwG1aT83180,0.0,0,18,1,
0,0,5.3875486850738525,0,604BaVh8B5igEaFS0x8dDlu99,0.0,0,3,1,
0,0,5.403528213500977,0,2670fxp2HMG8cuSsty0VDUYi1051,0.0,0,3,1,
0,0,25.18814253807068,3,22218q38c0YRb2JXvtSd0Nqf4044,0.0,0,12,1,
0,0,5.972023248672485,0,2134Bi8K76FZoKK6ZdoHexNd1407,0.0,0,3,1,
0,0,6.044382095336914,0,2098lWBBQeFRw7WuODbVUvic1512,1.0,1,3,1,
0,0,5.521595001220703,0,899il7HMq79D4iA4PWEiSgJ2628,1.0,1,3,1,
0,0.026666666666666665,25.83411407470703,3,9853WfA7vCWlhKLuNowxZf-444,0.0,0,12,1,
,,,,1940j-y1Q_I1wO0_w4xuf2jC2322,,,,,Ollama request exceeded timeout limit for model stable-qwen with error: timed out
0,0,5.654963970184326,0,2577bEPb_E8k_8MS_cadZ9ua2441,0.0,0,3,1,
0,0,30.914386749267578,4,29828E9PeGsXkCgpy9f0lHoG3903,1.0,1,15,1,
0,0.2,5.365300416946411,0,3022nFZbMu1Zsnj63qPWfgCv3813,1.0,1,3,1,
0,0,17.3342125415802,2,609MyQ372LLBdo0DkE0M__Y85,0.0,0,9,1,
0,0,18.709586143493652,2,1012LN56E8ShPhOCoocbJrrp377,0.0,0,9,1,
0,0,5.406096458435059,0,2656m6atvpn0tFeC20KuCqnA1091,0.0,0,3,1,
0,0,5.698199033737183,0,1837DjnvLKs92-s8s-2bK5zI3340,1.0,1,3,1,
0,0,5.493832588195801,0,994Sida6rlY6gttMLbmo18H294,0.0,0,3,1,
0,0,5.46133828163147,0,2972anHdG1TwBtQaRXhi-WEK3930,0.0,0,3,1,
0,0,5.608627080917358,0,2543YTHVxq-ZfUQzgqYoJgvE2501,1.0,1,3,1,
0,0,5.439234972000122,0,2417mVau_Gooa9D5PxRnhLKg3623,0.0,0,3,1,
0,0,5.517279148101807,0,2135XIpxKCXL8wqzaiLxmU9S1404,1.0,1,3,1,
0,0,5.46858286857605,0,1941vdbzlN7oVltmEKX-YLNT2321,0.0,0,3,1,
0,0,5.733168125152588,0,1172cnB3XirJLf2l_lj2h1NR3237,1.0,1,3,1,
0,0,7.5052735805511475,0,2090kIQgIF1t7Ra3IASVYGL71532,1.0,1,3,1,
0,0,5.890128135681152,0,1202iIzasrTScRTbY9MqhVF43150,1.0,1,3,1,
0,0,5.521580457687378,0,2197JYHIBfWstcD9UKgGesaP4105,0.0,0,3,1,
0,0,5.338670015335083,0,897WMI0gpuEb7GnEJyiH4Uz2633,1.0,1,3,1,
0,0,5.487421989440918,0,1384F3UCzmVUDztYUe75gYZ8726,0.0,0,3,1,
0,0,11.003756523132324,1,1378ks8fL5T0PZyVfKqdb0iq743,0.0,0,6,1,
0,0,5.511703729629517,0,1595fYgFcFNnWFaGQLEXRtcJ1248,1.0,1,3,1,
0,0,24.69282031059265,2,973l7OlPX7xTIwuKoPqSOF1480,1.0,1,9,1,
0,0,5.577164173126221,0,2059qn2LY5Rgkc_lCxZvqig_1624,0.0,0,3,1,
0,0,5.460375547409058,0,1350iEyQpgS8um8egWa2LDPk820,0.0,0,3,1,
0,0,5.400031089782715,0,2426OrIWlCMyEkLoqANXww1O3604,0.0,0,3,1,
0,0.16666666666666666,5.601058483123779,0,1567OzoMV2H8D1C1oKf9kJ7U1317,1.0,1,3,1,
0,0,5.526712417602539,0,1157dystjMPwLIVRr1mKQuwa3280,0.0,0,3,1,
0,0.1111111111111111,5.575343132019043,0,27136dTeCLdMVvvOL507cvEc930,1.0,1,3,1,
0,0,5.471255779266357,0,1365-1b52ot7eMMf3SsA9c4Y777,0.0,0,3,1,
0,0.15384615384615383,5.39349102973938,0,2236OY8HQU0L8c2zBLDDSfzl4002,1.0,1,3,1,
0,0,29.88882040977478,4,1173TY1U9F1eZjiUDJuXEvfX3233,2.0,2,15,1,
0,0,5.398539066314697,0,2475BHL2tV9VUQb2nFxwGP0p1839,1.0,1,3,1,
0,0,5.396561145782471,0,2499V-2FlPo6WVsoWpisdH6C1783,0.0,0,3,1,
0,0,5.508623361587524,0,3018ir8K9UU-cmqq5IQcmz7l3820,0.0,0,3,1,
0,0,5.679793119430542,0,2646G7TOcWUmw6OMJGvjmnOd1116,0.0,0,3,1,
0,0,5.4257097244262695,0,628A_ztdoD85Pm7Hd6Uv2TF31,1.0,1,3,1,
0,0,5.369185924530029,0,2548jWUEsutIJk1cbqN2tPM12494,1.0,1,3,1,
0,0,5.382988691329956,0,840n8TOnpwIHl-qkgddBBUV2778,1.0,1,3,1,
0,0,5.449015855789185,0,1979k__dYe4eh0JcWo4LS3y02238,0.0,0,3,1,
0,0,5.366851329803467,0,730-sg8DQC7Q6MNsKvBhO3l2801,0.0,0,3,1,
0,0,5.521704196929932,0,2411q8v30VrYGF_YwZ3xRDOD3629,0.0,0,3,1,
0,0,5.366915702819824,0,1537GkZcUo3TOHP-viuoWNt-1927,1.0,1,3,1,
0,0,5.461995840072632,0,2062pqfFSy4vUpvOqO0esuQx1613,1.0,1,3,1,
0,0,5.349006175994873,0,717GIQkXVVB0r9TgF9XjTKs2834,0.0,0,3,1,
0,0,5.375824451446533,0,2497_yB250Kp0G5hx_qYaSQz1789,1.0,1,3,1,
,,,,1532_kh1mDAMXkYl6yf_Pv1J1940,,,,,Ollama request exceeded timeout limit for model stable-qwen with error: timed out
0,0.22222222222222224,5.32385516166687,0,2080wcuzvVTZwQpYTe_xQ8731560,0.0,0,3,1,
0,0,5.418001651763916,0,2562mR0gHty9fugk4dVk181r2464,1.0,1,3,1,
0,0,12.19124460220337,1,1208ZxTFiASsvA8kMOYqhRyK3132,0.0,0,6,1,
0,0,5.584286451339722,0,904jIjVFDOK0pRjFHCWbvJn2614,0.0,0,3,1,
0,0,5.4658143520355225,0,2664AqK615zaJ_528hvbvtPb1071,0.0,0,3,1,
0,0.13333333333333333,5.544749975204468,0,2169wN0winsrY_i_g0bAhQG-4173,0.0,0,3,1,
0,0,10.929630756378174,1,2972A0AdM2WI3crvQdFxrqCd3928,1.0,1,6,1,
0,0,5.341200113296509,0,2173fu4XUTuowr7JXVT_qKR14162,0.0,0,3,1,
0,0,5.322620868682861,0,1194VOJh4dS-MXoenYLMn-a13174,1.0,1,3,1,
0,0,5.4780895709991455,0,2344eMszMywnP_KtAXxgyVLS3770,1.0,1,3,1,
0,0,5.389481782913208,0,2202VQfjd1RqAXVO4ucrNNUA4091,1.0,1,3,1,
0,0,11.054715633392334,1,601ThCJk5zYjSXGup71iHM5105,1.0,1,6,1,
0,0,11.152768611907959,1,2219TDRURokHX0rVp0aN741O4049,1.0,1,6,1,
0,0,5.466218948364258,0,652EU8b_0799Xp7ZExvB6D12996,0.0,0,3,1,
0,0,7.2890143394470215,0,596zM0R2OmIzgkB1SbT2GQk122,0.0,0,3,1,
0,0,24.686517477035522,1,2628284lX5xJUbHwtCr3OcHt2341,1.0,1,6,1,
0,0,18.51167106628418,2,1464zJl2AsUmWqzyQ5UMyZIu2084,0.0,0,9,1,
0,0,5.487940549850464,0,2119fyRyssk_Wje72wdKEvRB1450,0.0,0,3,1,
0,0,5.584051132202148,0,2011BmOhqTJO6XDvfA1PRl622189,0.0,0,3,1,
0,0,5.476297616958618,0,1143y4HvMRUYirASrnijdFdG3320,0.0,0,3,1,
0,0,5.471367120742798,0,11609Jmtcj6mL4_qZoKMrsvu3271,0.0,0,3,1,
0,0,11.754168272018433,1,2512lEhovFhT11eis4TwjWj61755,0.0,0,6,1,
0,0,5.604763031005859,0,10219JfXeEWLn2dqWpvyeBX-351,0.0,0,3,1,
0,0,5.524911642074585,0,591ltVD7_6Ehvx3qb3tWALB135,0.0,0,3,1,
0,0,5.628185749053955,0,991UJ4U1LRmAW5-f92M6LsY428,0.0,0,3,1,
0,0,5.498986005783081,0,1827dyfhitJTrUGC7j5L4f793368,1.0,1,3,1,
0,0,5.521528482437134,0,25901E2zSJQfs-GE-OfTyHNi2415,1.0,1,3,1,
0,0,5.519955635070801,0,2390BO24hCThZGRINh8VZEwX3669,0.0,0,3,1,
0,0,7.284113168716431,0,862Cr4hD-1x_y9yIeSe1h542712,1.0,1,3,1,
0,0,7.247598171234131,0,919Uw0PTYP2s2ybeSXUEbBL2567,1.0,1,3,1,
0,0,5.342069149017334,0,26420KhWf9GaN3cEHDl39Qxn1125,1.0,1,3,1,
0,0,5.349149465560913,0,2999clBojzrphxraymsqv1j23864,1.0,1,3,1,
0,0,7.02983546257019,0,2153UUzYIXrndLZzzxsDO5Gh4216,1.0,1,3,1,
0,0,5.42232084274292,0,1603mLkIXwPW7Y21tE83oCqe1229,0.0,0,3,1,
0,0,5.518721580505371,0,1177mo9QxepXvRmIEbov-3wB3225,0.0,0,3,1,
