exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count
0,0.9090909090909092,0.3777499198913574,1,629HsNl5Qf3THUq_CbmFrSx28,1.0,1,3,1
1,1.0,0.2601110935211181,1,2648F832Z8D-thJnrxy_ZoZ11111,1.0,1,3,1
1,1.0,0.3636701107025146,1,2561YDPNx6Nm5o6T0F-PGw-u2466,1.0,1,3,1
0,0.0,0.497208833694458,1,1431C0_ORK0ta8pDX6H-1VOp596,0.0,0,3,1
1,1.0,0.3982956409454345,1,1234WIzl7ElikCCPk4gA-7ua3057,1.0,1,3,1
0,0.8571428571428571,0.4708547592163086,1,580J0GQq9CMPFwuNoK_eRB4169,1.0,1,3,1
0,0.0588235294117647,0.7537431716918945,1,1008cPycwBnuEuEiZLC7k7LH387,0.0,0,3,1
0,0.0,0.8714699745178223,1,2515HnCK6br3syHDxNhRpc8g1750,0.0,0,3,1
0,0.1538461538461538,0.7955102920532227,1,1423Rcv2EkrmFuIt2YeOnjUf618,1.0,1,3,1
1,1.0,0.4446258544921875,1,20485Fhf0JwIy4n0x3VB-lgO1653,1.0,1,3,1
0,0.8636363636363636,0.9921863079071044,1,845RUlmcCAkxZC2itV7MBh62763,1.0,1,3,1
1,1.0,0.3115932941436767,1,2469wKA4zFUFpbear2IzeeA21855,1.0,1,3,1
1,1.0,0.4127156734466553,1,1440qne5M3TJkKmQ8UE97H1P2132,1.0,1,3,1
1,1.0,0.2698345184326172,1,1528MgNp15Yx30rPeZDqHZi11952,1.0,1,3,1
1,1.0,0.264340877532959,1,23488dFrnyeZ5ef_I0UKSiz_3761,1.0,1,3,1
0,0.3333333333333333,0.4575777053833008,1,1972yAEf1nBlvyHW4FzECBk52251,1.0,1,3,1
0,0.25,0.3483147621154785,1,1752E5XokYRzRxCMWKU2kTp-3547,1.0,1,3,1
0,0.0,0.3720510005950928,1,2574e_nCnMlZf6mrQzmO3LZo2447,0.0,0,3,1
0,0.0,0.313514232635498,1,1235m-89f-L_U28rNQ1Twz073053,0.0,0,3,1
0,0.5925925925925926,0.752758264541626,1,924h9Ft9SWd5mJ8NvTErCl72555,1.0,1,3,1
0,0.1333333333333333,0.5091910362243652,1,1449K8ANCJR2kfhz2B8KAAgg2114,1.0,1,3,1
0,0.0869565217391304,0.342043399810791,1,2563vdW9TuW9KxwiRSmdl72r2463,0.0,0,3,1
1,1.0,0.2967822551727295,1,9171SqPvS4Y9VVB9rn93Vi-2574,1.0,1,3,1
0,0.5714285714285714,0.4886748790740967,1,27065ZHgP-paSB5ljBAmKla_949,0.0,0,3,1
0,0.0,0.3471579551696777,1,542GY7OjClDyzNlztIK-dOQ282,0.0,0,3,1
1,1.0,0.3186817169189453,1,2135JNizCTqBzs-NkJ-0GhnT1406,1.0,1,3,1
0,0.0,0.263301134109497,1,1021PPK-R-xW8kEi9x6y3ozh353,0.0,0,3,1
0,0.25,0.5305976867675781,1,2130h876xzkpp7t6b6OH4mTG1419,1.0,1,3,1
0,0.1999999999999999,0.766385555267334,1,884P0H0QPSGbW5zK2GVDAY02661,1.0,1,3,1
0,0.7000000000000001,0.5563759803771973,1,1192qu70aQV6bzoD2MwG1aT83180,1.0,1,3,1
0,0.3809523809523809,0.5661659240722656,1,604BaVh8B5igEaFS0x8dDlu99,1.0,1,3,1
0,0.3333333333333333,0.4399402141571045,1,2670fxp2HMG8cuSsty0VDUYi1051,1.0,1,3,1
0,0.7200000000000001,0.5676348209381104,1,22218q38c0YRb2JXvtSd0Nqf4044,1.0,1,3,1
1,1.0,0.2118880748748779,1,2134Bi8K76FZoKK6ZdoHexNd1407,1.0,1,3,1
1,1.0,0.2614080905914306,1,2098lWBBQeFRw7WuODbVUvic1512,1.0,1,3,1
0,0.0,0.2119166851043701,1,899il7HMq79D4iA4PWEiSgJ2628,0.0,0,3,1
0,0.0,0.3467288017272949,1,9853WfA7vCWlhKLuNowxZf-444,0.0,0,3,1
0,0.2777777777777777,0.8606181144714355,1,1940j-y1Q_I1wO0_w4xuf2jC2322,1.0,1,3,1
0,0.8,0.3424310684204101,1,2577bEPb_E8k_8MS_cadZ9ua2441,1.0,1,3,1
0,0.0,0.4738852977752685,1,29828E9PeGsXkCgpy9f0lHoG3903,1.0,1,3,1
1,1.0,0.3591806888580322,1,3022nFZbMu1Zsnj63qPWfgCv3813,1.0,1,3,1
1,1.0,0.4294488430023193,1,609MyQ372LLBdo0DkE0M__Y85,1.0,1,3,1
0,0.5,0.5049891471862793,1,1012LN56E8ShPhOCoocbJrrp377,1.0,1,3,1
0,0.0,0.5938546657562256,1,2656m6atvpn0tFeC20KuCqnA1091,0.0,0,3,1
1,1.0,0.2300043106079101,1,1837DjnvLKs92-s8s-2bK5zI3340,1.0,1,3,1
0,0.8571428571428571,0.4396064281463623,1,994Sida6rlY6gttMLbmo18H294,1.0,1,3,1
0,0.0,0.2011387348175048,1,2972anHdG1TwBtQaRXhi-WEK3930,0.0,0,3,1
0,0.0,0.364999771118164,1,2543YTHVxq-ZfUQzgqYoJgvE2501,1.0,1,3,1
1,1.0,0.2819063663482666,1,2417mVau_Gooa9D5PxRnhLKg3623,1.0,1,3,1
0,0.3846153846153846,0.6278352737426758,1,2135XIpxKCXL8wqzaiLxmU9S1404,1.0,1,3,1
0,0.7692307692307692,0.4870195388793945,1,1941vdbzlN7oVltmEKX-YLNT2321,1.0,1,3,1
1,1.0,0.3606810569763183,1,1172cnB3XirJLf2l_lj2h1NR3237,1.0,1,3,1
0,0.6666666666666666,0.4277660846710205,1,2090kIQgIF1t7Ra3IASVYGL71532,1.0,1,3,1
0,0.9090909090909092,0.3555915355682373,1,1202iIzasrTScRTbY9MqhVF43150,1.0,1,3,1
1,1.0,0.2203872203826904,1,2197JYHIBfWstcD9UKgGesaP4105,0.0,0,3,1
0,0.3225806451612903,0.6919376850128174,1,897WMI0gpuEb7GnEJyiH4Uz2633,1.0,1,3,1
0,0.3636363636363636,0.6242289543151855,1,1384F3UCzmVUDztYUe75gYZ8726,1.0,1,3,1
0,0.3636363636363636,0.393106460571289,1,1378ks8fL5T0PZyVfKqdb0iq743,1.0,1,3,1
0,0.1428571428571428,0.8455052375793457,1,1595fYgFcFNnWFaGQLEXRtcJ1248,0.0,0,3,1
1,1.0,0.2794461250305176,1,973l7OlPX7xTIwuKoPqSOF1480,1.0,1,3,1
0,0.5,0.3267228603363037,1,2059qn2LY5Rgkc_lCxZvqig_1624,1.0,1,3,1
0,0.6060606060606061,0.6858110427856445,1,1350iEyQpgS8um8egWa2LDPk820,1.0,1,3,1
0,0.4,0.9178674221038818,1,2426OrIWlCMyEkLoqANXww1O3604,1.0,1,3,1
0,0.2857142857142857,0.389676570892334,1,1567OzoMV2H8D1C1oKf9kJ7U1317,1.0,1,3,1
1,1.0,0.3184585571289062,1,1157dystjMPwLIVRr1mKQuwa3280,1.0,1,3,1
0,0.4516129032258064,0.7246339321136475,1,27136dTeCLdMVvvOL507cvEc930,1.0,1,3,1
0,0.0,0.5043983459472656,1,1365-1b52ot7eMMf3SsA9c4Y777,0.0,0,3,1
0,0.2777777777777778,0.9927914142608644,1,2236OY8HQU0L8c2zBLDDSfzl4002,1.0,1,3,1
0,0.8,0.2326853275299072,1,1173TY1U9F1eZjiUDJuXEvfX3233,1.0,1,3,1
0,0.0,0.5628330707550049,1,2475BHL2tV9VUQb2nFxwGP0p1839,0.0,0,3,1
0,0.8571428571428571,0.3444359302520752,1,2499V-2FlPo6WVsoWpisdH6C1783,1.0,1,3,1
0,0.1333333333333333,0.4749903678894043,1,3018ir8K9UU-cmqq5IQcmz7l3820,0.0,0,3,1
0,0.5263157894736842,0.4999017715454101,1,2646G7TOcWUmw6OMJGvjmnOd1116,1.0,1,3,1
0,0.5,0.3134090900421142,1,628A_ztdoD85Pm7Hd6Uv2TF31,1.0,1,3,1
1,1.0,0.297429084777832,1,2548jWUEsutIJk1cbqN2tPM12494,1.0,1,3,1
0,0.6666666666666666,0.2861113548278808,1,840n8TOnpwIHl-qkgddBBUV2778,1.0,1,3,1
0,0.5294117647058824,0.5864202976226807,1,1979k__dYe4eh0JcWo4LS3y02238,1.0,1,3,1
0,0.5454545454545454,0.4445247650146484,1,730-sg8DQC7Q6MNsKvBhO3l2801,1.0,1,3,1
