dataset_id,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,exact_match_median,exact_match_ci_lower,exact_match_ci_upper,exact_match_count,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,f1_score_median,f1_score_ci_lower,f1_score_ci_upper,f1_score_count,time_mean,time_std,time_min,time_max,time_median,time_ci_lower,time_ci_upper,time_count,step_mean,step_std,step_min,step_max,step_median,step_ci_lower,step_ci_upper,step_count,hit_rate_mean,hit_rate_std,hit_rate_min,hit_rate_max,hit_rate_median,hit_rate_ci_lower,hit_rate_ci_upper,hit_rate_count,hits_mean,hits_std,hits_min,hits_max,hits_median,hits_ci_lower,hits_ci_upper,hits_count,total_retrieved_mean,total_retrieved_std,total_retrieved_min,total_retrieved_max,total_retrieved_median,total_retrieved_ci_lower,total_retrieved_ci_upper,total_retrieved_count,expected_count_mean,expected_count_std,expected_count_min,expected_count_max,expected_count_median,expected_count_ci_lower,expected_count_ci_upper,expected_count_count
0,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.18181818181818182,2.925694557147251e-17,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,10,0.32418460845947267,0.03076358042654653,0.2967166900634765,0.3976144790649414,0.311404824256897,0.2969176411628723,0.38726876974105834,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
2,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
3,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
4,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
5,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
6,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
7,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
8,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
9,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
10,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
11,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
12,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
13,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
14,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
15,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
16,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
17,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
18,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
19,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
20,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
21,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
22,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
23,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
24,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
25,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
26,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
27,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
28,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1176470588235294,0.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,10,0.39891414642333983,0.011244533785420056,0.3818678855895996,0.4120843410491943,0.3994189500808716,0.3832535147666931,0.4118691742420196,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
30,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
31,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
32,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
33,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
34,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
35,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
36,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
37,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
38,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
39,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
40,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
41,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
42,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
43,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
44,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
45,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.45,0.15811388300841897,0.0,0.5,0.5,0.1125,0.5,10,0.21081914901733395,0.007610055000558216,0.1951158046722412,0.2244043350219726,0.2111066579818725,0.19735925793647766,0.22231827378273006,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
47,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
48,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
49,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
50,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
51,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
52,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
53,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
54,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
55,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
56,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
57,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
58,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
59,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
60,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
61,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
62,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
63,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
64,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
65,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
66,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
67,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
68,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
69,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
70,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
71,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
72,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
73,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
74,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
75,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
76,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
77,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
78,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
79,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
80,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
81,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
82,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
83,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
84,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
85,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.44781620502471925,0.012213615950817058,0.4286859035491943,0.4658694267272949,0.4465172290802002,0.4308457791805267,0.46503896117210386,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
87,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
88,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
89,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
90,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
91,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
92,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
93,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
94,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
95,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
96,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
97,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
98,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
99,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
