exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count,error
1,1.0,4.835380792617798,1,0,1.0,1,3,1,
0,0.1818181818181818,0.3517611026763916,0,1,,,,,
0,0.787878787878788,6.307126045227051,1,2,1.0,1,3,1,
0,0,4.166040658950806,1,3,0.0,0,3,1,
1,1.0,4.714462757110596,1,4,1.0,1,3,1,
0,0,4.895557641983032,1,5,0.0,0,3,1,
1,1.0,4.598664045333862,1,6,0.0,0,3,1,
0,0.7000000000000001,5.25375509262085,1,7,0.0,0,3,1,
0,0,4.359640598297119,1,8,0.0,0,3,1,
1,1.0,4.599367141723633,1,9,1.0,1,3,1,
0,0.6666666666666666,4.040669202804565,1,10,1.0,1,3,1,
1,1.0,4.495405197143555,1,11,1.0,1,3,1,
0,0.5,4.40973973274231,1,12,0.0,0,3,1,
1,1.0,4.422086954116821,1,13,0.0,0,3,1,
1,1.0,4.252980947494507,1,14,0.0,0,3,1,
0,0,4.4746198654174805,1,15,0.0,0,3,1,
0,0.15384615384615385,4.695572137832642,1,16,0.0,0,3,1,
0,0.10526315789473684,4.594285726547241,1,17,0.0,0,3,1,
1,1.0,4.518931150436401,1,18,1.0,1,3,1,
0,0.2222222222222222,5.971601724624634,1,19,1.0,1,3,1,
0,0,4.492178201675415,1,20,0.0,0,3,1,
0,0.8,4.705455303192139,1,21,0.0,0,3,1,
1,1.0,4.321946620941162,1,22,0.0,0,3,1,
0,0,4.57912802696228,1,23,0.0,0,3,1,
0,0,4.661686658859253,1,24,0.0,0,3,1,
0,0,4.713658571243286,1,25,0.0,0,3,1,
0,0.25,5.0913145542144775,1,26,0.0,0,3,1,
0,0.2857142857142857,4.6364405155181885,1,27,0.0,0,3,1,
0,0,4.635705471038818,1,28,0.0,0,3,1,
0,0.11764705882352941,0.44077539443969727,0,29,,,,,
1,1.0,4.6941821575164795,1,30,0.0,0,3,1,
1,1.0,4.440787076950073,1,31,0.0,0,3,1,
1,1.0,4.479031801223755,1,32,0.0,0,3,1,
1,1.0,4.239671945571899,1,33,0.0,0,3,1,
0,0.5,4.8326029777526855,1,34,0.0,0,3,1,
0,0.2,4.512345552444458,1,35,0.0,0,3,1,
1,1.0,4.673490285873413,1,36,1.0,1,3,1,
0,0.6206896551724139,4.633302211761475,1,37,1.0,1,3,1,
0,0.6666666666666666,4.413726806640625,1,38,0.0,0,3,1,
0,0,7.546624183654785,0,39,0.0,0,3,1,
0,0.8,4.589704751968384,1,40,0.0,0,3,1,
0,0.6666666666666666,4.433452129364014,1,41,0.0,0,3,1,
0,0,6.420349597930908,1,42,0.0,0,3,1,
0,0.6666666666666666,7.8279688358306885,1,43,0.0,0,3,1,
0,0.8387096774193549,8.727972269058228,1,44,0.0,0,3,1,
1,1.0,7.661775827407837,1,45,0.0,0,3,1,
0,0.5,0.2470719814300537,0,46,,,,,
1,1.0,7.943913698196411,1,47,1.0,1,3,1,
0,0.4,7.802793025970459,1,48,0.0,0,3,1,
0,0.2222222222222222,7.858511209487915,1,49,0.0,0,3,1,
0,0,7.770286560058594,1,50,0.0,0,3,1,
0,0,8.313977003097534,1,51,0.0,0,3,1,
0,0.21052631578947367,8.143185377120972,1,52,0.0,0,3,1,
0,0.5,7.502549409866333,1,53,0.0,0,3,1,
0,0.33333333333333337,7.844661712646484,1,54,0.0,0,3,1,
1,1.0,8.05800199508667,1,55,0.0,0,3,1,
1,1.0,8.457973718643188,1,56,1.0,1,3,1,
0,0.15384615384615385,8.314419746398926,1,57,1.0,1,3,1,
0,0.4,7.802157402038574,1,58,1.0,1,3,1,
1,1.0,9.253656148910522,1,59,0.0,0,3,1,
1,1.0,7.545846700668335,1,60,0.0,0,3,1,
1,1.0,7.653806924819946,1,61,0.0,0,3,1,
0,0.7058823529411764,8.064854145050049,1,62,0.0,0,3,1,
1,1.0,7.702091217041016,1,63,1.0,1,3,1,
1,1.0,7.705527067184448,1,64,1.0,1,3,1,
0,0,60.49143981933594,5,65,2.0,2,18,1,
1,1.0,8.087250709533691,1,66,0.0,0,3,1,
1,1.0,7.508891344070435,1,67,0.0,0,3,1,
0,0.33333333333333337,7.74102258682251,1,68,0.0,0,3,1,
0,0.5,8.120525598526001,1,69,0.0,0,3,1,
1,1.0,7.697822570800781,1,70,0.0,0,3,1,
0,0,19.27779769897461,1,71,1.0,1,6,1,
1,1.0,9.56467580795288,1,72,1.0,1,3,1,
1,1.0,7.627902269363403,1,73,0.0,0,3,1,
0,0.28571428571428575,7.7921082973480225,1,74,0.0,0,3,1,
0,0,7.849424839019775,1,75,0.0,0,3,1,
0,0.19999999999999998,8.094025135040283,1,76,0.0,0,3,1,
0,0.6666666666666665,8.104508638381958,1,77,1.0,1,3,1,
1,1.0,7.892329692840576,1,78,1.0,1,3,1,
0,0,7.993088245391846,1,79,0.0,0,3,1,
0,0,9.61417841911316,0,80,0.0,0,3,1,
0,0.5454545454545454,8.005165338516235,1,81,0.0,0,3,1,
0,0.2222222222222222,7.6751532554626465,1,82,0.0,0,3,1,
1,1.0,7.756076335906982,1,83,0.0,0,3,1,
0,0.16666666666666669,8.10638165473938,1,84,0.0,0,3,1,
0,0.10526315789473684,8.600675344467163,1,85,1.0,1,3,1,
0,0,0.44217658042907715,0,86,,,,,
,,,,87,,,,,Ollama request exceeded timeout limit for model stable-qwen with error: timed out
0,0.14285714285714285,8.317229270935059,1,88,0.0,0,3,1,
0,0,9.038181781768799,0,89,0.0,0,3,1,
0,0,8.658414125442505,1,90,0.0,0,3,1,
0,0.4,9.595186471939087,1,91,0.0,0,3,1,
1,1.0,7.7902843952178955,1,92,1.0,1,3,1,
1,1.0,7.8098719120025635,1,93,1.0,1,3,1,
0,0.18181818181818182,7.981967449188232,1,94,0.0,0,3,1,
0,0.6,7.952513217926025,1,95,0.0,0,3,1,
1,1.0,7.73748779296875,1,96,0.0,0,3,1,
1,1.0,7.733569145202637,1,97,0.0,0,3,1,
1,1.0,7.8379669189453125,1,98,0.0,0,3,1,
0,0.8750000000000001,8.156349182128906,1,99,0.0,0,3,1,
1,1.0,7.816537857055664,1,100,0.0,0,3,1,
1,1.0,7.70613694190979,1,101,0.0,0,3,1,
0,0.5714285714285714,8.31089472770691,1,102,1.0,1,3,1,
1,1.0,7.76573634147644,1,103,1.0,1,3,1,
0,0.2857142857142857,7.483358144760132,1,104,0.0,0,3,1,
0,0.28571428571428575,7.75875449180603,1,105,0.0,0,3,1,
0,0.4615384615384615,7.900478839874268,1,106,0.0,0,3,1,
0,0.6666666666666666,7.883511066436768,1,107,0.0,0,3,1,
0,0,62.72353267669678,5,108,0.0,0,18,1,
0,0,0.2688875198364258,0,109,,,,,
1,1.0,7.78804874420166,1,110,0.0,0,3,1,
0,0.6666666666666666,7.471487522125244,1,111,0.0,0,3,1,
0,0.4,8.097952604293823,1,112,1.0,1,3,1,
0,0,9.33641791343689,0,113,1.0,1,3,1,
1,1.0,7.848826885223389,1,114,0.0,0,3,1,
0,0,0.3893563747406006,0,115,,,,,
1,1.0,8.04050087928772,1,116,0.0,0,3,1,
1,1.0,8.103629112243652,1,117,0.0,0,3,1,
0,0.7499999999999999,7.506880283355713,1,118,0.0,0,3,1,
0,0.5333333333333333,8.269744873046875,1,119,1.0,1,3,1,
0,0.56,7.798661470413208,1,120,1.0,1,3,1,
0,0.625,7.79976487159729,1,121,1.0,1,3,1,
1,1.0,7.489171981811523,1,122,0.0,0,3,1,
1,1.0,8.034278869628906,1,123,0.0,0,3,1,
0,0.6666666666666666,7.830264091491699,1,124,0.0,0,3,1,
1,1.0,7.677617788314819,1,125,0.0,0,3,1,
0,0.7499999999999999,9.66203236579895,1,126,0.0,0,3,1,
0,0.6153846153846153,7.831292629241943,1,127,0.0,0,3,1,
0,0.8571428571428571,7.872600317001343,1,128,0.0,0,3,1,
1,1.0,7.779952764511108,1,129,1.0,1,3,1,
0,0.33333333333333337,7.813191175460815,1,130,1.0,1,3,1,
1,1.0,7.536229610443115,1,131,1.0,1,3,1,
1,1.0,7.746140003204346,1,132,0.0,0,3,1,
0,0,8.049024105072021,1,133,0.0,0,3,1,
1,1.0,7.8465166091918945,1,134,0.0,0,3,1,
0,0.5,7.8913938999176025,1,135,0.0,0,3,1,
1,1.0,7.67618465423584,1,136,0.0,0,3,1,
0,0.8,7.746373653411865,1,137,0.0,0,3,1,
1,1.0,8.015024185180664,1,138,1.0,1,3,1,
0,0.3636363636363636,7.708789110183716,1,139,1.0,1,3,1,
0,0.888888888888889,8.099268913269043,1,140,0.0,0,3,1,
0,0.7692307692307692,7.489655017852783,1,141,0.0,0,3,1,
0,0.19999999999999998,8.167262077331543,1,142,0.0,0,3,1,
0,0.08695652173913045,8.610422611236572,1,143,0.0,0,3,1,
1,1.0,7.769635915756226,1,144,0.0,0,3,1,
0,0.39999999999999997,9.802612066268921,1,145,0.0,0,3,1,
0,0.42857142857142855,7.978258848190308,1,146,0.0,0,3,1,
1,1.0,7.941479921340942,1,147,1.0,1,3,1,
1,1.0,7.935833930969238,1,148,1.0,1,3,1,
0,0.7272727272727273,7.787210702896118,1,149,0.0,0,3,1,
1,1.0,8.019382953643799,1,150,0.0,0,3,1,
0,0.6666666666666666,7.9041619300842285,1,151,0.0,0,3,1,
0,0.6666666666666666,7.819257974624634,1,152,0.0,0,3,1,
0,0.4,8.250191450119019,1,153,0.0,0,3,1,
0,0.6666666666666666,7.82110333442688,1,154,0.0,0,3,1,
0,0.3636363636363636,8.198531150817871,1,155,0.0,0,3,1,
0,0.3636363636363636,7.907361745834351,1,156,0.0,0,3,1,
1,1.0,7.9921040534973145,1,157,0.0,0,3,1,
1,1.0,7.894064664840698,1,158,1.0,1,3,1,
1,1.0,7.592389822006226,1,159,1.0,1,3,1,
0,0.7857142857142858,7.834732532501221,1,160,1.0,1,3,1,
0,0.6666666666666666,8.037141799926758,1,161,0.0,0,3,1,
1,1.0,7.544684410095215,1,162,0.0,0,3,1,
0,0.32432432432432434,8.542746782302856,1,163,0.0,0,3,1,
1,1.0,9.255526065826416,1,164,0.0,0,3,1,
1,1.0,7.3968799114227295,1,165,0.0,0,3,1,
