exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count,error
1,1.0,2.240905523300171,1,0,1.0,1,3,1,
0,0.1818181818181818,0.3555305004119873,0,1,,,,,
0,0.787878787878788,0.8161060810089111,1,2,1.0,1,3,1,
0,0,0.31353306770324707,1,3,0.0,0,3,1,
1,1.0,0.6731312274932861,1,4,1.0,1,3,1,
0,0,0.824371337890625,1,5,0.0,0,3,1,
1,1.0,0.7958760261535645,1,6,0.0,0,3,1,
0,0.09523809523809523,0.3606245517730713,1,7,0.0,0,3,1,
0,0,0.5160281658172607,1,8,0.0,0,3,1,
1,1.0,0.59969162940979,1,9,1.0,1,3,1,
0,0.6666666666666666,0.2583456039428711,1,10,1.0,1,3,1,
1,1.0,0.44719576835632324,1,11,1.0,1,3,1,
1,1.0,0.19660353660583496,1,12,0.0,0,3,1,
1,1.0,0.2425379753112793,1,13,0.0,0,3,1,
1,1.0,0.28167295455932617,1,14,0.0,0,3,1,
0,0,0.5274744033813477,1,15,0.0,0,3,1,
0,0.2857142857142857,0.31494665145874023,1,16,0.0,0,3,1,
0,0.08695652173913042,0.6955845355987549,1,17,0.0,0,3,1,
1,1.0,0.6673226356506348,1,18,1.0,1,3,1,
0,0.2222222222222222,0.37866997718811035,1,19,1.0,1,3,1,
0,0,0.6794724464416504,1,20,0.0,0,3,1,
0,0.8,0.7925667762756348,1,21,0.0,0,3,1,
1,1.0,0.26080989837646484,1,22,0.0,0,3,1,
0,0,0.7495744228363037,1,23,0.0,0,3,1,
0,0,0.7330074310302734,1,24,0.0,0,3,1,
0,0,0.8817358016967773,1,25,0.0,0,3,1,
0,0.25,0.7978010177612305,1,26,0.0,0,3,1,
0,0.33333333333333337,0.672947883605957,1,27,1.0,1,3,1,
0,0,0.7362720966339111,1,28,0.0,0,3,1,
0,0.11764705882352941,0.4208409786224365,0,29,,,,,
1,1.0,0.6077945232391357,1,30,0.0,0,3,1,
0,0.33333333333333337,0.2711665630340576,1,31,0.0,0,3,1,
1,1.0,0.24418282508850098,1,32,0.0,0,3,1,
0,0,0.21239757537841797,1,33,0.0,0,3,1,
0,0.5,0.7119581699371338,1,34,0.0,0,3,1,
0,0.2,0.6412289142608643,1,35,0.0,0,3,1,
1,1.0,0.7657713890075684,1,36,1.0,1,3,1,
0,0.6206896551724139,0.6304962635040283,1,37,1.0,1,3,1,
0,0.6666666666666666,0.25225377082824707,1,38,1.0,1,3,1,
0,0.2857142857142857,0.5490965843200684,0,39,0.0,0,3,1,
0,0.8,0.24187278747558594,1,40,0.0,0,3,1,
0,0.6666666666666666,0.24812865257263184,1,41,0.0,0,3,1,
0,0,0.23211932182312012,1,42,0.0,0,3,1,
0,0.6666666666666666,0.25441670417785645,1,43,0.0,0,3,1,
0,0.8387096774193549,1.0539839267730713,1,44,0.0,0,3,1,
1,1.0,0.24940180778503418,1,45,0.0,0,3,1,
0,0.5,0.20812034606933594,0,46,,,,,
1,1.0,0.6721203327178955,1,47,1.0,1,3,1,
0,0.3636363636363636,0.3533623218536377,1,48,1.0,1,3,1,
0,0,0.5272092819213867,1,49,0.0,0,3,1,
0,0,0.41564202308654785,1,50,0.0,0,3,1,
0,0,0.7719793319702148,1,51,0.0,0,3,1,
0,0.33333333333333337,0.4281752109527588,1,52,0.0,0,3,1,
0,0.5,0.35104942321777344,1,53,0.0,0,3,1,
0,0.33333333333333337,0.5925188064575195,1,54,0.0,0,3,1,
0,0.3076923076923077,0.8459131717681885,1,55,0.0,0,3,1,
1,1.0,0.6726641654968262,1,56,1.0,1,3,1,
0,0.15384615384615385,0.4183523654937744,1,57,1.0,1,3,1,
0,0.4,0.28621721267700195,1,58,1.0,1,3,1,
1,1.0,0.20717811584472656,1,59,0.0,0,3,1,
1,1.0,0.26653528213500977,1,60,0.0,0,3,1,
1,1.0,0.23761796951293945,1,61,0.0,0,3,1,
0,0.7058823529411764,0.46686887741088867,1,62,0.0,0,3,1,
1,1.0,0.5379629135131836,1,63,1.0,1,3,1,
1,1.0,0.21700429916381836,1,64,1.0,1,3,1,
0,0.02222222222222222,4.702044725418091,1,65,2.0,2,6,1,
1,1.0,0.25789594650268555,1,66,0.0,0,3,1,
1,1.0,0.23325490951538086,1,67,0.0,0,3,1,
0,0.33333333333333337,0.3235182762145996,1,68,0.0,0,3,1,
0,0.5,0.8235836029052734,1,69,0.0,0,3,1,
1,1.0,0.49684739112854004,1,70,0.0,0,3,1,
0,0.017543859649122806,3.744441270828247,0,71,1.0,1,3,1,
1,1.0,0.30593276023864746,1,72,1.0,1,3,1,
1,1.0,0.24236631393432617,1,73,1.0,1,3,1,
0,0.8,0.22275137901306152,1,74,0.0,0,3,1,
0,0,0.7529873847961426,1,75,0.0,0,3,1,
0,0.19999999999999998,0.9657199382781982,1,76,0.0,0,3,1,
0,0.6666666666666665,0.78438401222229,1,77,1.0,1,3,1,
1,1.0,0.31531810760498047,1,78,1.0,1,3,1,
0,0,0.6820540428161621,1,79,0.0,0,3,1,
0,0.0718562874251497,14.58603310585022,2,80,0.0,0,9,1,
0,0.5454545454545454,0.8459129333496094,1,81,0.0,0,3,1,
0,0.2222222222222222,0.36527538299560547,1,82,0.0,0,3,1,
1,1.0,0.24077129364013672,1,83,0.0,0,3,1,
0,0.16666666666666669,0.4323599338531494,1,84,0.0,0,3,1,
