exact_match,f1_score,time,step,dataset_id,hit_rate,hits,total_retrieved,expected_count,error
1,1.0,2.1626696586608887,1,0,1.0,1,3,1,
0,0.4444444444444445,0.24127745628356934,1,1,1.0,1,3,1,
0,0.787878787878788,0.5432467460632324,1,2,1.0,1,3,1,
0,0,0.22861075401306152,1,3,0.0,0,3,1,
1,1.0,0.6021158695220947,1,4,1.0,1,3,1,
0,0,0.727684736251831,1,5,0.0,0,3,1,
1,1.0,0.6883747577667236,1,6,0.0,0,3,1,
0,0.09523809523809523,0.27464723587036133,1,7,0.0,0,3,1,
0,0,0.4236917495727539,1,8,0.0,0,3,1,
1,1.0,0.4998469352722168,1,9,1.0,1,3,1,
0,0.6666666666666666,0.18746685981750488,1,10,1.0,1,3,1,
1,1.0,0.3545725345611572,1,11,1.0,1,3,1,
1,1.0,0.10845327377319336,1,12,0.0,0,3,1,
1,1.0,0.15232324600219727,1,13,0.0,0,3,1,
1,1.0,0.21630454063415527,1,14,0.0,0,3,1,
0,0,0.4658346176147461,1,15,0.0,0,3,1,
0,0.2857142857142857,0.23523616790771484,1,16,0.0,0,3,1,
0,0.08695652173913042,0.5787551403045654,1,17,0.0,0,3,1,
1,1.0,0.580845832824707,1,18,1.0,1,3,1,
0,0.2222222222222222,0.304858922958374,1,19,1.0,1,3,1,
0,0,0.5973813533782959,1,20,0.0,0,3,1,
0,0.8,0.7370710372924805,1,21,0.0,0,3,1,
1,1.0,0.16467547416687012,1,22,0.0,0,3,1,
0,0,0.6648914813995361,1,23,0.0,0,3,1,
0,0,0.6638078689575195,1,24,0.0,0,3,1,
0,0,0.8138742446899414,1,25,0.0,0,3,1,
0,0.25,0.6930851936340332,1,26,0.0,0,3,1,
0,0.33333333333333337,0.5896193981170654,1,27,1.0,1,3,1,
0,0,0.654198408126831,1,28,0.0,0,3,1,
0,0.888888888888889,0.5263955593109131,1,29,0.0,0,3,1,
1,1.0,0.1482086181640625,1,30,0.0,0,3,1,
1,1.0,0.12455463409423828,1,31,0.0,0,3,1,
1,1.0,0.16369867324829102,1,32,0.0,0,3,1,
0,0,0.13897943496704102,1,33,0.0,0,3,1,
0,0.5,0.6223800182342529,1,34,0.0,0,3,1,
0,0.2,0.5452032089233398,1,35,0.0,0,3,1,
1,1.0,0.6841344833374023,1,36,1.0,1,3,1,
0,0.6206896551724139,0.5569093227386475,1,37,1.0,1,3,1,
0,0.6666666666666666,0.15892601013183594,1,38,1.0,1,3,1,
0,0.8,0.1883227825164795,1,39,0.0,0,3,1,
0,0.8,0.15616536140441895,1,40,0.0,0,3,1,
0,0.6666666666666666,0.19065070152282715,1,41,0.0,0,3,1,
0,0,0.15146851539611816,1,42,0.0,0,3,1,
0,0.6666666666666666,0.14751791954040527,1,43,0.0,0,3,1,
0,0.8387096774193549,1.0070157051086426,1,44,0.0,0,3,1,
1,1.0,0.14183425903320312,1,45,0.0,0,3,1,
1,1.0,0.5797715187072754,1,46,1.0,1,3,1,
1,1.0,0.151289701461792,1,47,1.0,1,3,1,
0,0.3636363636363636,0.2828691005706787,1,48,1.0,1,3,1,
0,0,0.42794179916381836,1,49,0.0,0,3,1,
0,0,0.3398921489715576,1,50,0.0,0,3,1,
0,0,0.687431812286377,1,51,0.0,0,3,1,
0,0.33333333333333337,0.3351004123687744,1,52,0.0,0,3,1,
0,0.5,0.2519068717956543,1,53,0.0,0,3,1,
0,0.33333333333333337,0.5049219131469727,1,54,0.0,0,3,1,
0,0.3076923076923077,0.7526276111602783,1,55,0.0,0,3,1,
1,1.0,0.5925016403198242,1,56,1.0,1,3,1,
0,0.15384615384615385,0.34090566635131836,1,57,1.0,1,3,1,
0,0.4,0.20129752159118652,1,58,1.0,1,3,1,
1,1.0,0.14877557754516602,1,59,0.0,0,3,1,
1,1.0,0.16327428817749023,1,60,0.0,0,3,1,
1,1.0,0.14318585395812988,1,61,0.0,0,3,1,
0,0.7058823529411764,0.38683056831359863,1,62,0.0,0,3,1,
1,1.0,0.44349098205566406,1,63,1.0,1,3,1,
1,1.0,0.12189030647277832,1,64,1.0,1,3,1,
0,0,0.1413719654083252,1,65,1.0,1,3,1,
1,1.0,0.16798925399780273,1,66,0.0,0,3,1,
1,1.0,0.1649940013885498,1,67,0.0,0,3,1,
0,0.33333333333333337,0.2244718074798584,1,68,0.0,0,3,1,
0,0.5,0.7382411956787109,1,69,0.0,0,3,1,
1,1.0,0.38437557220458984,1,70,0.0,0,3,1,
0,0.6666666666666666,0.5188133716583252,1,71,1.0,1,3,1,
1,1.0,0.1862180233001709,1,72,1.0,1,3,1,
1,1.0,0.1389012336730957,1,73,1.0,1,3,1,
0,0.8,0.14509367942810059,1,74,0.0,0,3,1,
0,0,0.6523480415344238,1,75,0.0,0,3,1,
0,0.19999999999999998,0.8552188873291016,1,76,0.0,0,3,1,
0,0.6666666666666665,0.673466682434082,1,77,1.0,1,3,1,
1,1.0,0.2005007266998291,1,78,1.0,1,3,1,
0,0,0.5624418258666992,1,79,0.0,0,3,1,
0,0.3636363636363636,1.0838720798492432,1,80,0.0,0,3,1,
0,0.5454545454545454,0.3473079204559326,1,81,0.0,0,3,1,
0,0.2222222222222222,0.2604696750640869,1,82,0.0,0,3,1,
1,1.0,0.13631486892700195,1,83,0.0,0,3,1,
0,0.16666666666666669,0.3691587448120117,1,84,0.0,0,3,1,
0,0.14285714285714285,1.1411573886871338,1,85,1.0,1,3,1,
0,0.22222222222222224,0.23587298393249512,1,86,1.0,1,3,1,
0,0.9333333333333333,0.23073911666870117,1,87,1.0,1,3,1,
0,0.14285714285714285,0.26178693771362305,1,88,0.0,0,3,1,
0,0.5833333333333334,0.517918586730957,1,89,0.0,0,3,1,
0,0,1.1635212898254395,1,90,0.0,0,3,1,
0,0.4,0.6586456298828125,1,91,0.0,0,3,1,
1,1.0,0.6626558303833008,1,92,1.0,1,3,1,
1,1.0,0.16564536094665527,1,93,1.0,1,3,1,
0,0.18181818181818182,0.4308280944824219,1,94,1.0,1,3,1,
0,0.6,0.2139418125152588,1,95,0.0,0,3,1,
1,1.0,0.1497507095336914,1,96,0.0,0,3,1,
1,1.0,0.16918063163757324,1,97,0.0,0,3,1,
1,1.0,0.12875056266784668,1,98,0.0,0,3,1,
0,0.8750000000000001,0.3596174716949463,1,99,0.0,0,3,1,
1,1.0,0.14637398719787598,1,100,0.0,0,3,1,
1,1.0,0.20370960235595703,1,101,0.0,0,3,1,
0,0.5714285714285714,0.8536012172698975,1,102,1.0,1,3,1,
1,1.0,0.16672110557556152,1,103,1.0,1,3,1,
0,0.2857142857142857,0.2398543357849121,1,104,1.0,1,3,1,
0,0.28571428571428575,0.35669398307800293,1,105,0.0,0,3,1,
0,0.5,0.3261089324951172,1,106,0.0,0,3,1,
0,0.6666666666666666,0.23020005226135254,1,107,0.0,0,3,1,
0,0,0.6669118404388428,1,108,0.0,0,3,1,
1,1.0,0.1463792324066162,1,109,0.0,0,3,1,
1,1.0,0.12781047821044922,1,110,0.0,0,3,1,
0,0.6666666666666666,0.1958785057067871,1,111,0.0,0,3,1,
0,0.4,0.5751755237579346,1,112,1.0,1,3,1,
0,0.6153846153846153,0.32562875747680664,1,113,1.0,1,3,1,
1,1.0,0.21639657020568848,1,114,1.0,1,3,1,
0,0.5714285714285715,0.32616662979125977,1,115,0.0,0,3,1,
1,1.0,0.2364959716796875,1,116,0.0,0,3,1,
1,1.0,0.17815184593200684,1,117,0.0,0,3,1,
0,0.7499999999999999,0.23421144485473633,1,118,0.0,0,3,1,
0,0.5333333333333333,0.8499901294708252,1,119,1.0,1,3,1,
0,0.56,0.4523143768310547,1,120,1.0,1,3,1,
0,0.625,0.3602769374847412,1,121,1.0,1,3,1,
1,1.0,0.1685624122619629,1,122,0.0,0,3,1,
1,1.0,0.29375600814819336,1,123,0.0,0,3,1,
0,0.6666666666666666,0.20549321174621582,1,124,0.0,0,3,1,
1,1.0,0.169785737991333,1,125,0.0,0,3,1,
0,0.7499999999999999,0.23132681846618652,1,126,0.0,0,3,1,
0,0.6153846153846153,0.3426475524902344,1,127,0.0,0,3,1,
0,0.8571428571428571,0.22503924369812012,1,128,0.0,0,3,1,
1,1.0,0.5332534313201904,1,129,1.0,1,3,1,
0,0,0.8429348468780518,1,130,0.0,0,3,1,
1,1.0,0.5175538063049316,1,131,1.0,1,3,1,
1,1.0,0.20934438705444336,1,132,0.0,0,3,1,
0,0,0.14037346839904785,1,133,0.0,0,3,1,
1,1.0,0.15705204010009766,1,134,0.0,0,3,1,
0,0.5,0.18831396102905273,1,135,0.0,0,3,1,
1,1.0,0.1418139934539795,1,136,0.0,0,3,1,
0,0.8,0.18911123275756836,1,137,0.0,0,3,1,
1,1.0,0.6162333488464355,1,138,1.0,1,3,1,
0,0.3636363636363636,0.2932090759277344,1,139,1.0,1,3,1,
0,0.888888888888889,0.27211570739746094,1,140,1.0,1,3,1,
0,0.7692307692307692,0.2792854309082031,1,141,0.0,0,3,1,
0,0.19999999999999998,0.3738372325897217,1,142,0.0,0,3,1,
0,0.08695652173913045,0.49603867530822754,1,143,0.0,0,3,1,
1,1.0,0.1535632610321045,1,144,0.0,0,3,1,
0,0.2608695652173913,0.40642762184143066,1,145,0.0,0,3,1,
0,0.42857142857142855,0.8201656341552734,1,146,0.0,0,3,1,
1,1.0,0.593498945236206,1,147,0.0,0,3,1,
1,1.0,0.6489808559417725,1,148,1.0,1,3,1,
0,0.7272727272727273,0.26143622398376465,1,149,1.0,1,3,1,
1,1.0,0.21555399894714355,1,150,0.0,0,3,1,
1,1.0,0.22819948196411133,1,151,0.0,0,3,1,
0,0.6666666666666666,0.16757559776306152,1,152,0.0,0,3,1,
0,0.4,0.3667137622833252,1,153,0.0,0,3,1,
0,0.6666666666666666,0.1907210350036621,1,154,0.0,0,3,1,
0,0.3636363636363636,0.25469040870666504,1,155,0.0,0,3,1,
0,0.3636363636363636,0.3101925849914551,1,156,0.0,0,3,1,
1,1.0,0.15954923629760742,1,157,0.0,0,3,1,
1,1.0,0.6035652160644531,1,158,1.0,1,3,1,
1,1.0,0.14661693572998047,1,159,1.0,1,3,1,
0,0.7857142857142858,0.47262001037597656,1,160,1.0,1,3,1,
0,0.6666666666666666,0.20124411582946777,1,161,0.0,0,3,1,
1,1.0,0.17554616928100586,1,162,0.0,0,3,1,
0,0.3888888888888889,0.7889242172241211,1,163,0.0,0,3,1,
1,1.0,0.1695725917816162,1,164,0.0,0,3,1,
1,1.0,0.14436984062194824,1,165,0.0,0,3,1,
0,0.0909090909090909,0.8925950527191162,1,166,0.0,0,3,1,
0,0,0.838958740234375,1,167,0.0,0,3,1,
0,0,0.8105678558349609,1,168,0.0,0,3,1,
0,0.8,0.533494234085083,1,169,0.0,0,3,1,
0,0.8,0.20727801322937012,1,170,0.0,0,3,1,
0,0.3636363636363636,0.3093388080596924,1,171,0.0,0,3,1,
0,0.2857142857142857,1.1456589698791504,1,172,1.0,1,3,1,
1,1.0,0.16376352310180664,1,173,1.0,1,3,1,
0,0,0.3705592155456543,1,174,1.0,1,3,1,
0,0.8421052631578948,0.3901517391204834,1,175,0.0,0,3,1,
0,0.16666666666666669,0.5569515228271484,1,176,0.0,0,3,1,
1,1.0,0.16465520858764648,1,177,0.0,0,3,1,
0,0.6363636363636364,0.9700310230255127,1,178,1.0,1,3,1,
0,0.3076923076923077,0.3332085609436035,1,179,1.0,1,3,1,
0,0,0.35092902183532715,1,180,1.0,1,3,1,
1,1.0,0.1234138011932373,1,181,0.0,0,3,1,
0,0.4444444444444444,0.34876394271850586,1,182,0.0,0,3,1,
0,0,0.3952805995941162,1,183,0.0,0,3,1,
0,0.625,0.3370034694671631,1,184,0.0,0,3,1,
1,1.0,0.15580987930297852,1,185,0.0,0,3,1,
0,0.08333333333333333,0.9718325138092041,1,186,1.0,1,3,1,
0,0.45454545454545453,0.48603272438049316,1,187,1.0,1,3,1,
1,1.0,0.14899754524230957,1,188,1.0,1,3,1,
0,0.3076923076923077,0.5150306224822998,1,189,0.0,0,3,1,
0,0.1,0.41609764099121094,1,190,0.0,0,3,1,
1,1.0,0.16492247581481934,1,191,0.0,0,3,1,
0,0.6666666666666666,0.1705310344696045,1,192,0.0,0,3,1,
1,1.0,0.19442486763000488,1,193,0.0,0,3,1,
0,0.2857142857142857,0.8759715557098389,1,194,1.0,1,3,1,
1,1.0,0.19881582260131836,1,195,1.0,1,3,1,
0,0.3636363636363636,0.2992558479309082,1,196,1.0,1,3,1,
0,0.5714285714285715,0.37241578102111816,1,197,0.0,0,3,1,
0,0.18181818181818182,0.5628728866577148,1,198,0.0,0,3,1,
1,1.0,0.13469815254211426,1,199,0.0,0,3,1,
1,1.0,0.21674394607543945,1,200,0.0,0,3,1,
1,1.0,0.17161226272583008,1,201,0.0,0,3,1,
0,0.33333333333333337,0.8239438533782959,1,202,1.0,1,3,1,
0,0.25,0.21524953842163086,1,203,1.0,1,3,1,
0,0.6666666666666666,0.21756315231323242,1,204,1.0,1,3,1,
0,0,0.13489794731140137,1,205,0.0,0,3,1,
1,1.0,0.12622904777526855,1,206,0.0,0,3,1,
0,0.8,0.18572735786437988,1,207,0.0,0,3,1,
1,1.0,0.14171457290649414,1,208,0.0,0,3,1,
0,0,0.5897672176361084,1,209,0.0,0,3,1,
0,0.5,0.6478891372680664,1,210,0.0,0,3,1,
0,0,0.3309488296508789,1,211,0.0,0,3,1,
0,0.6666666666666666,0.15954184532165527,1,212,0.0,0,3,1,
1,1.0,0.18238091468811035,1,213,0.0,0,3,1,
1,1.0,0.16925263404846191,1,214,0.0,0,3,1,
1,1.0,0.5013108253479004,1,215,1.0,1,3,1,
1,1.0,0.1578366756439209,1,216,1.0,1,3,1,
1,1.0,0.13101768493652344,1,217,1.0,1,3,1,
1,1.0,0.12767267227172852,1,218,0.0,0,3,1,
1,1.0,0.1411912441253662,1,219,0.0,0,3,1,
1,1.0,0.15702533721923828,1,220,0.0,0,3,1,
0,0.5,0.27275633811950684,1,221,0.0,0,3,1,
1,1.0,0.1813035011291504,1,222,0.0,0,3,1,
1,1.0,0.20197081565856934,1,223,0.0,0,3,1,
0,0.6666666666666666,0.653939962387085,1,224,1.0,1,3,1,
0,0.2222222222222222,0.2668642997741699,1,225,1.0,1,3,1,
0,0.6666666666666666,0.1656649112701416,1,226,1.0,1,3,1,
0,0.13333333333333333,0.5893542766571045,1,227,0.0,0,3,1,
1,1.0,0.6518912315368652,1,228,0.0,0,3,1,
0,0.6666666666666666,0.15830254554748535,1,229,0.0,0,3,1,
0,0.3636363636363636,0.5561966896057129,1,230,1.0,1,3,1,
1,1.0,0.14751315116882324,1,231,1.0,1,3,1,
0,0.6666666666666665,0.20904111862182617,1,232,1.0,1,3,1,
0,0.25,0.3791790008544922,1,233,0.0,0,3,1,
0,0.11764705882352941,0.40638303756713867,1,234,0.0,0,3,1,
1,1.0,0.14185070991516113,1,235,0.0,0,3,1,
0,0.4210526315789474,0.4269838333129883,1,236,0.0,0,3,1,
1,1.0,0.6180760860443115,1,237,1.0,1,3,1,
1,1.0,0.13177704811096191,1,238,1.0,1,3,1,
1,1.0,0.17307424545288086,1,239,1.0,1,3,1,
0,0.5714285714285715,0.22614812850952148,1,240,0.0,0,3,1,
0,0.5714285714285715,0.17397642135620117,1,241,0.0,0,3,1,
0,0.5,0.8020913600921631,1,242,1.0,1,3,1,
0,0,0.617987871170044,1,243,1.0,1,3,1,
0,0.45454545454545453,0.9349853992462158,1,244,1.0,1,3,1,
0,0.8571428571428571,0.19076943397521973,1,245,1.0,1,3,1,
0,0.6666666666666666,0.14212751388549805,1,246,1.0,1,3,1,
0,0.4,0.2998204231262207,1,247,0.0,0,3,1,
1,1.0,0.5463507175445557,1,248,1.0,1,3,1,
0,0.8,0.37659740447998047,1,249,1.0,1,3,1,
0,0.23076923076923075,0.546086311340332,1,250,1.0,1,3,1,
1,1.0,0.19587159156799316,1,251,0.0,0,3,1,
0,0.4210526315789473,0.3945009708404541,1,252,0.0,0,3,1,
0,0.35294117647058826,0.3705282211303711,1,253,0.0,0,3,1,
1,1.0,0.1661520004272461,1,254,0.0,0,3,1,
0,0.2857142857142857,0.25391507148742676,1,255,0.0,0,3,1,
1,1.0,0.14992833137512207,1,256,0.0,0,3,1,
1,1.0,0.26426053047180176,1,257,0.0,0,3,1,
1,1.0,0.5822522640228271,1,258,1.0,1,3,1,
1,1.0,0.13733124732971191,1,259,1.0,1,3,1,
0,0.5,0.18848228454589844,1,260,1.0,1,3,1,
0,0.375,0.41448974609375,1,261,0.0,0,3,1,
0,0.35294117647058826,0.4374215602874756,1,262,0.0,0,3,1,
0,0.17391304347826086,0.4356856346130371,1,263,0.0,0,3,1,
1,1.0,0.23259520530700684,1,264,0.0,0,3,1,
0,1.0,0.17171335220336914,1,265,0.0,0,3,1,
1,1.0,0.17861175537109375,1,266,0.0,0,3,1,
1,1.0,0.6136600971221924,1,267,1.0,1,3,1,
0,0,0.6084578037261963,1,268,1.0,1,3,1,
1,1.0,0.18129205703735352,1,269,1.0,1,3,1,
0,0.5,0.15796613693237305,1,270,0.0,0,3,1,
1,1.0,0.15512490272521973,1,271,0.0,0,3,1,
0,0,0.24617218971252441,1,272,0.0,0,3,1,
0,0.8571428571428571,0.281238317489624,1,273,0.0,0,3,1,
0,0.5217391304347826,0.5178041458129883,1,274,0.0,0,3,1,
1,1.0,0.14800024032592773,1,275,0.0,0,3,1,
1,1.0,0.24976086616516113,1,276,0.0,0,3,1,
1,1.0,0.43253326416015625,1,277,1.0,1,3,1,
1,1.0,0.12288618087768555,1,278,1.0,1,3,1,
1,1.0,0.16009736061096191,1,279,1.0,1,3,1,
0,0.4444444444444445,0.4120771884918213,1,280,0.0,0,3,1,
0,0.03225806451612903,1.6467492580413818,1,281,0.0,0,3,1,
0,0.2,0.13261890411376953,1,282,0.0,0,3,1,
1,1.0,0.5706894397735596,1,283,1.0,1,3,1,
1,1.0,0.16376805305480957,1,284,0.0,0,3,1,
0,0.43478260869565216,0.4764702320098877,1,285,0.0,0,3,1,
1,1.0,0.20604372024536133,1,286,0.0,0,3,1,
0,0.5,0.15069985389709473,1,287,0.0,0,3,1,
1,1.0,0.1446974277496338,1,288,0.0,0,3,1,
0,0.5,0.6011958122253418,1,289,0.0,0,3,1,
1,1.0,0.5891005992889404,1,290,0.0,0,3,1,
1,1.0,0.5745706558227539,1,291,1.0,1,3,1,
1,1.0,0.13849663734436035,1,292,1.0,1,3,1,
0,0,0.647984504699707,1,293,0.0,0,3,1,
0,0,0.6000320911407471,1,294,0.0,0,3,1,
1,1.0,0.5995602607727051,1,295,0.0,0,3,1,
1,1.0,0.19306445121765137,1,296,0.0,0,3,1,
0,0.4285714285714285,0.3170602321624756,1,297,0.0,0,3,1,
1,1.0,0.6514623165130615,1,298,1.0,1,3,1,
1,1.0,0.1700761318206787,1,299,1.0,1,3,1,
1,1.0,0.18857383728027344,1,300,1.0,1,3,1,
1,1.0,0.15695667266845703,1,301,0.0,0,3,1,
1,1.0,0.17006945610046387,1,302,0.0,0,3,1,
1,1.0,0.18673324584960938,1,303,0.0,0,3,1,
0,0.6666666666666666,0.21287012100219727,1,304,0.0,0,3,1,
0,0.4,0.17546296119689941,1,305,0.0,0,3,1,
0,0.888888888888889,0.19820356369018555,1,306,0.0,0,3,1,
0,0.4,0.18978023529052734,1,307,0.0,0,3,1,
1,1.0,0.19951844215393066,1,308,0.0,0,3,1,
1,1.0,0.4052121639251709,1,309,1.0,1,3,1,
0,0.38095238095238093,0.4330880641937256,1,310,1.0,1,3,1,
0,0.2222222222222222,0.17523574829101562,1,311,1.0,1,3,1,
0,0.8,0.25270962715148926,1,312,0.0,0,3,1,
0,0.888888888888889,0.24115371704101562,1,313,0.0,0,3,1,
0,0.10526315789473684,0.6585788726806641,1,314,0.0,0,3,1,
1,1.0,0.43039965629577637,1,315,0.0,0,3,1,
1,1.0,0.16533637046813965,1,316,0.0,0,3,1,
0,0.4,0.1402277946472168,1,317,0.0,0,3,1,
0,0.7499999999999999,0.20521998405456543,1,318,0.0,0,3,1,
1,1.0,0.38120365142822266,1,319,1.0,1,3,1,
0,0.2857142857142857,0.2750225067138672,1,320,1.0,1,3,1,
1,1.0,0.17949914932250977,1,321,1.0,1,3,1,
1,1.0,0.16049528121948242,1,322,0.0,0,3,1,
1,1.0,0.5268723964691162,1,323,1.0,1,3,1,
0,0.28571428571428575,0.17397475242614746,1,324,1.0,1,3,1,
1,1.0,0.17011809349060059,1,325,1.0,1,3,1,
1,1.0,0.15194940567016602,1,326,0.0,0,3,1,
0,0,0.6973495483398438,1,327,0.0,0,3,1,
0,0.6666666666666666,0.39342284202575684,1,328,1.0,1,3,1,
0,0,0.6772191524505615,1,329,0.0,0,3,1,
0,0,0.5837624073028564,1,330,0.0,0,3,1,
0,0.8571428571428571,0.45519065856933594,1,331,0.0,0,3,1,
0,0.2222222222222222,0.3012888431549072,1,332,0.0,0,3,1,
0,0.13333333333333333,0.32330822944641113,1,333,0.0,0,3,1,
0,0.6399999999999999,0.44358396530151367,1,334,0.0,0,3,1,
0,0.08695652173913043,0.9742066860198975,1,335,0.0,0,3,1,
0,0,0.404447078704834,1,336,0.0,0,3,1,
1,1.0,0.49137449264526367,1,337,1.0,1,3,1,
1,1.0,0.12677812576293945,1,338,0.0,0,3,1,
0,0.375,0.39997100830078125,1,339,0.0,0,3,1,
0,0.6666666666666666,0.24957895278930664,1,340,0.0,0,3,1,
1,1.0,0.15054845809936523,1,341,0.0,0,3,1,
1,1.0,0.1463027000427246,1,342,0.0,0,3,1,
0,0.6666666666666666,0.5057086944580078,1,343,1.0,1,3,1,
0,0,0.676379919052124,1,344,0.0,0,3,1,
1,1.0,0.4801633358001709,1,345,1.0,1,3,1,
0,0.6666666666666666,0.16557526588439941,1,346,0.0,0,3,1,
0,0.5263157894736842,0.38741159439086914,1,347,0.0,0,3,1,
0,0.6,0.3964695930480957,1,348,0.0,0,3,1,
0,0.3076923076923077,0.29286789894104004,1,349,0.0,0,3,1,
0,0.4,0.3248627185821533,1,350,0.0,0,3,1,
1,1.0,0.5188372135162354,1,351,1.0,1,3,1,
0,0.5,0.24241256713867188,1,352,1.0,1,3,1,
0,0.6666666666666666,0.1826186180114746,1,353,1.0,1,3,1,
0,0,0.156355619430542,1,354,0.0,0,3,1,
1,1.0,0.1304469108581543,1,355,0.0,0,3,1,
1,1.0,0.13970232009887695,1,356,0.0,0,3,1,
1,1.0,0.12434172630310059,1,357,0.0,0,3,1,
1,1.0,0.1590282917022705,1,358,0.0,0,3,1,
0,0.3157894736842105,0.6898119449615479,1,359,1.0,1,3,1,
0,0,0.5275285243988037,1,360,0.0,0,3,1,
0,0.6666666666666666,0.462932825088501,1,361,1.0,1,3,1,
0,0.3636363636363636,0.6100027561187744,1,362,1.0,1,3,1,
0,0.8,0.1668403148651123,1,363,1.0,1,3,1,
0,0,0.1532423496246338,1,364,1.0,1,3,1,
0,0.2666666666666667,0.3504159450531006,1,365,0.0,0,3,1,
1,1.0,0.20216965675354004,1,366,0.0,0,3,1,
1,1.0,0.13909673690795898,1,367,0.0,0,3,1,
1,1.0,0.17772340774536133,1,368,0.0,0,3,1,
1,1.0,0.13721060752868652,1,369,0.0,0,3,1,
1,1.0,0.5166885852813721,1,370,1.0,1,3,1,
0,0.08,0.8780128955841064,1,371,0.0,0,3,1,
0,0.25,0.581507682800293,1,372,1.0,1,3,1,
0,0.6666666666666666,0.19533371925354004,1,373,0.0,0,3,1,
1,1.0,0.15189123153686523,1,374,0.0,0,3,1,
0,0.6666666666666666,0.15085101127624512,1,375,0.0,0,3,1,
0,0.7272727272727272,0.2447953224182129,1,376,0.0,0,3,1,
0,0.5,0.5826771259307861,1,377,1.0,1,3,1,
0,0.6666666666666666,0.1412806510925293,1,378,1.0,1,3,1,
1,1.0,0.15955781936645508,1,379,1.0,1,3,1,
0,0.5714285714285715,0.1822803020477295,1,380,0.0,0,3,1,
1,1.0,0.6817336082458496,1,381,1.0,1,3,1,
1,1.0,0.20412588119506836,1,382,1.0,1,3,1,
1,1.0,0.1486823558807373,1,383,1.0,1,3,1,
0,0.5,0.2289724349975586,1,384,0.0,0,3,1,
1,1.0,0.13940644264221191,1,385,0.0,0,3,1,
1,1.0,0.17627644538879395,1,386,0.0,0,3,1,
1,1.0,0.21380114555358887,1,387,0.0,0,3,1,
0,0.2857142857142857,0.20427823066711426,1,388,0.0,0,3,1,
1,1.0,0.1327378749847412,1,389,0.0,0,3,1,
0,0.6,0.31835365295410156,1,390,0.0,0,3,1,
0,0.35294117647058826,0.31920599937438965,1,391,0.0,0,3,1,
1,1.0,0.14870738983154297,1,392,0.0,0,3,1,
0,0,0.150221586227417,1,393,0.0,0,3,1,
0,0.4,0.3222057819366455,1,394,0.0,0,3,1,
0,0.4,0.5174078941345215,1,395,0.0,0,3,1,
1,1.0,0.7497677803039551,1,396,1.0,1,3,1,
1,1.0,0.19742274284362793,1,397,1.0,1,3,1,
0,0,0.20261073112487793,1,398,0.0,0,3,1,
1,1.0,0.15248942375183105,1,399,0.0,0,3,1,
0,0.16666666666666666,0.35498499870300293,1,400,0.0,0,3,1,
1,1.0,0.6295061111450195,1,401,0.0,0,3,1,
0,0.8387096774193549,0.4700613021850586,1,402,0.0,0,3,1,
1,1.0,0.14863038063049316,1,403,0.0,0,3,1,
1,1.0,0.2130751609802246,1,404,0.0,0,3,1,
0,0.8571428571428571,0.6078786849975586,1,405,0.0,0,3,1,
1,1.0,0.24215435981750488,1,406,0.0,0,3,1,
0,0.2,0.7350249290466309,1,407,0.0,0,3,1,
1,1.0,0.7070698738098145,1,408,1.0,1,3,1,
1,1.0,0.1404714584350586,1,409,1.0,1,3,1,
1,1.0,0.21549224853515625,1,410,1.0,1,3,1,
1,1.0,0.15378212928771973,1,411,0.0,0,3,1,
0,0.2222222222222222,0.48323535919189453,1,412,0.0,0,3,1,
1,1.0,0.7193276882171631,1,413,1.0,1,3,1,
0,0.2,0.2426891326904297,1,414,1.0,1,3,1,
0,0.1176470588235294,1.0562829971313477,1,415,0.0,0,3,1,
1,1.0,0.6248559951782227,1,416,0.0,0,3,1,
0,0.6666666666666666,0.3103034496307373,1,417,0.0,0,3,1,
0,0.08695652173913042,1.0510506629943848,1,418,1.0,1,3,1,
0,0.6666666666666666,0.14269280433654785,1,419,1.0,1,3,1,
0,0.06451612903225806,0.5876278877258301,1,420,0.0,0,3,1,
1,1.0,0.6566481590270996,1,421,0.0,0,3,1,
0,0.8,0.17185711860656738,1,422,0.0,0,3,1,
0,0.5,0.17525911331176758,1,423,0.0,0,3,1,
1,1.0,0.1604149341583252,1,424,0.0,0,3,1,
1,1.0,0.5858776569366455,1,425,1.0,1,3,1,
